# alt-18s hr SPL
freq,value
35,81.9
36.92,82.7
38.94,83.6
41.07,84.5
43.33,85.4
45.7,86.2
48.2,87.1
50.84,87.9
53.63,88.7
56.57,89.4
59.67,90.1
62.94,90.6
66.39,91.1
70.02,91.5
73.86,91.9
77.91,92.5
82.18,93.3
86.68,94.2
91.43,95.2
96.44,95.9
101.72,96.4
107.3,96.8
113.18,97.2
119.38,97.5
125.92,97.8
132.82,98.1
140.1,98.4
147.77,98.6
155.87,98.8
164.41,99.1
173.42,99.3
182.92,99.6
192.95,99.5
203.52,99.7
214.67,100
226.43,100.4
238.84,100.8
251.93,101.2
265.73,101.5
280.29,101.8
295.65,101.9
311.85,101.8
328.94,101.6
346.96,101.4
365.97,101.3
386.03,101.2
407.18,101.2
429.49,101.1
453.02,100.9
477.85,100.5
504.03,100.3
531.65,100.5
560.78,101.1
591.51,101.6
623.92,101.9
658.1,102
694.16,102.3
732.2,102.4
772.32,102.6
814.64,101.9
859.28,101.7
906.36,101.9
956.02,102.1
1008.41,103
1063.66,103.8
1121.95,103.6
1183.42,103.4
1248.27,102.9
1316.66,103.3
1388.81,104.3
1464.91,104.9
1545.18,104.3
1629.84,103
1719.15,102.3
1813.35,102.6
1912.71,101.6
2017.52,99.8
2128.06,99.2
2244.67,99.2
2367.66,97.2
2497.4,95.9
2634.24,95.9
2778.58,93.7
2930.83,92.8
3091.43,91.9
3260.82,89.7
3439.49,89.4
3627.96,87
3826.75,86.8
4036.43,84.3
4257.6,83.8
4490.9,82.1
4736.97,80.4
4996.53,79.8
5270.31,77.9
5559.09,76
5863.7,75
6185,74.1
6523.9,72.8
6881.37,71.3
7258.43,69.8
7656.15,68.5
8075.66,67.2
8518.16,65.7
8984.91,63.9
9477.23,62.3
9996.53,61.5
10544.28,59.7
11122.05,58.6
11731.47,56.9
12374.29,56
13052.33,54.3
13767.52,52.7
14521.9,51.3
15317.62,49.9
16156.94,48.7
17042.24,47.6
17976.06,45.7
18961.04,44.8
20000,43
