# alt-18s rew SPL
freq,value
35,83.2
36.92,84.4
38.94,84.9
41.07,86
43.33,86.9
45.7,87.8
48.2,88.5
50.84,88.9
53.63,89.6
56.57,90.2
59.67,90.9
62.94,91.3
66.39,91.9
70.02,92
73.86,92.3
77.91,92.7
82.18,93.4
86.68,94.5
91.43,95.2
96.44,96.2
101.72,96.7
107.3,96.7
113.18,97.4
119.38,97.7
125.92,97.9
132.82,98.1
140.1,98.3
147.77,98.6
155.87,98.7
164.41,99.3
173.42,99.1
182.92,99.4
192.95,99.3
203.52,100
214.67,100
226.43,100.4
238.84,100.6
251.93,100.9
265.73,101.8
280.29,101.6
295.65,101.7
311.85,102
328.94,101.3
346.96,101.7
365.97,101.4
386.03,101.1
407.18,101.3
429.49,101.1
453.02,101.1
477.85,100.3
504.03,100.3
531.65,100.4
560.78,101.2
591.51,101.6
623.92,102
658.1,102
694.16,102.6
732.2,102.7
772.32,102.6
814.64,101.6
859.28,101.6
906.36,101.7
956.02,101.8
1008.41,102.8
1063.66,103.7
1121.95,103.5
1183.42,103.3
1248.27,102.7
1316.66,103.5
1388.81,104.2
1464.91,105
1545.18,104.2
1629.84,103
1719.15,102.4
1813.35,102.7
1912.71,101.7
2017.52,99.9
2128.06,99.5
2244.67,99.1
2367.66,97.4
2497.4,95.6
2634.24,96.1
2778.58,93.9
2930.83,92.8
3091.43,91.9
3260.82,89.6
3439.49,89.3
3627.96,87
3826.75,86.5
4036.43,84.1
4257.6,83.8
4490.9,81.9
4736.97,80.4
4996.53,79.5
5270.31,77.6
5559.09,75.9
5863.7,75.1
6185,74
6523.9,72.8
6881.37,71.3
7258.43,70
7656.15,68.4
8075.66,66.9
8518.16,65.9
8984.91,63.6
9477.23,62.2
9996.53,61.5
10544.28,59.8
11122.05,58.5
11731.47,56.6
12374.29,56.2
13052.33,54.1
13767.52,52.5
14521.9,51.5
15317.62,49.8
16156.94,48.9
17042.24,47.6
17976.06,45.6
18961.04,44.7
20000,43.2
