# default klp SPL
freq,value
35,92.6
36.92,93.3
38.94,93.5
41.07,93.9
43.33,93.6
45.7,94
48.2,94.1
50.84,94.4
53.63,95.5
56.57,95.8
59.67,96.5
62.94,96.9
66.39,97.6
70.02,97.4
73.86,97.7
77.91,98.3
82.18,98.3
86.68,97.9
91.43,98.6
96.44,98.6
101.72,98.7
107.3,98.5
113.18,98.9
119.38,99
125.92,98.9
132.82,99
140.1,99.3
147.77,98.9
155.87,99.5
164.41,99.7
173.42,99.6
182.92,100.5
192.95,100.4
203.52,101
214.67,101.1
226.43,101
238.84,100.7
251.93,101.2
265.73,101
280.29,101.3
295.65,101.7
311.85,101.4
328.94,100.9
346.96,101.1
365.97,100.6
386.03,101
407.18,100.9
429.49,100.3
453.02,100.3
477.85,100.2
504.03,100.8
531.65,101
560.78,100.8
591.51,101.7
623.92,101.8
658.1,102
694.16,102.1
732.2,101.8
772.32,101.6
814.64,101.2
859.28,100.5
906.36,100.9
956.02,101.6
1008.41,102.2
1063.66,102.1
1121.95,102
1183.42,101.6
1248.27,101
1316.66,101.3
1388.81,102.3
1464.91,102.2
1545.18,101.2
1629.84,101.1
1719.15,101.3
1813.35,102.4
1912.71,101.4
2017.52,101.1
2128.06,101.5
2244.67,102
2367.66,101.5
2497.4,101.7
2634.24,102.1
2778.58,101.1
2930.83,101.9
3091.43,101.8
3260.82,101.8
3439.49,102.2
3627.96,101.6
3826.75,102.1
4036.43,101.5
4257.6,101.9
4490.9,101.7
4736.97,101.1
4996.53,102.2
5270.31,102.1
5559.09,101.2
5863.7,101.2
6185,101.8
6523.9,102
6881.37,102.1
7258.43,102.2
7656.15,101.8
8075.66,102.2
8518.16,102
8984.91,101.7
9477.23,101.4
9996.53,101.8
10544.28,101.2
11122.05,102
11731.47,101.6
12374.29,101.5
13052.33,101.6
13767.52,101.3
14521.9,101.4
15317.62,101.1
16156.94,101.4
17042.24,100.9
17976.06,99.8
18961.04,99.9
20000,98.5
