# default s1 phase
freq,value
35,68.4
36.92,72.2
38.94,76.3
41.07,80.6
43.33,85.1
45.7,89.8
48.2,94.9
50.84,96.7
53.63,97.6
56.57,98.5
59.67,99.4
62.94,100.4
66.39,101.4
70.02,102.5
73.86,103.3
77.91,102
82.18,100.6
86.68,99.2
91.43,97.7
96.44,96
101.72,94.1
107.3,92
113.18,89.8
119.38,87.4
125.92,86
132.82,85.3
140.1,84.6
147.77,83.3
155.87,79.2
164.41,74.8
173.42,70.5
182.92,66.7
192.95,62.7
203.52,58.7
214.67,54.7
226.43,51.3
238.84,48.5
251.93,45.4
265.73,42
280.29,39.7
295.65,37.6
311.85,35.1
328.94,32.9
346.96,30.8
365.97,28.3
386.03,28
407.18,27.4
429.49,27.8
453.02,28.2
477.85,28.7
504.03,28.8
531.65,28.7
560.78,27.8
591.51,27.4
623.92,26.9
658.1,26.6
694.16,26.6
732.2,25.9
772.32,23.4
814.64,19.7
859.28,15.8
906.36,12.9
956.02,11.5
1008.41,11
1063.66,10.7
1121.95,11.3
1183.42,13.5
1248.27,16.3
1316.66,17.1
1388.81,15
1464.91,12.4
1545.18,8.8
1629.84,5.4
1719.15,5.3
1813.35,8.2
1912.71,11
2017.52,12
2128.06,8.9
2244.67,4.5
2367.66,3.1
2497.4,6.2
2634.24,9.3
2778.58,7.2
2930.83,2.9
3091.43,2.9
3260.82,7.1
3439.49,5.8
3627.96,1.6
3826.75,3.7
4036.43,5.7
4257.6,2.2
4490.9,3.2
4736.97,4
4996.53,1.5
5270.31,3
5559.09,1.7
5863.7,1.9
6185,1.9
6523.9,1.5
6881.37,1.7
7258.43,0.5
7656.15,2
8075.66,0
8518.16,-0.1
8984.91,2
9477.23,0.2
9996.53,-2.2
10544.28,-1.9
11122.05,-0.7
11731.47,-0.1
12374.29,0
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
