# default s1 SPL
freq,value
35,85.6
36.92,86.5
38.94,87.3
41.07,88.2
43.33,89.1
45.7,89.9
48.2,90.7
50.84,91.6
53.63,92.3
56.57,93.1
59.67,93.7
62.94,94.3
66.39,94.8
70.02,95.2
73.86,95.4
77.91,95.6
82.18,95.9
86.68,96.4
91.43,97.1
96.44,97.8
101.72,98.4
107.3,98.8
113.18,99.1
119.38,99.2
125.92,99.4
132.82,99.5
140.1,99.6
147.77,99.6
155.87,99.7
164.41,99.7
173.42,99.7
182.92,99.7
192.95,99.7
203.52,99.7
214.67,99.6
226.43,99.7
238.84,99.8
251.93,99.9
265.73,100
280.29,99.9
295.65,99.8
311.85,99.7
328.94,99.6
346.96,99.5
365.97,99.7
386.03,99.9
407.18,100.2
429.49,100.5
453.02,100.6
477.85,100.6
504.03,100.7
531.65,100.9
560.78,101.4
591.51,101.7
623.92,101.9
658.1,101.8
694.16,101.7
732.2,101.9
772.32,102
814.64,101.6
859.28,101.3
906.36,101.3
956.02,101.2
1008.41,100.9
1063.66,101.1
1121.95,101.5
1183.42,101.6
1248.27,102.2
1316.66,102.3
1388.81,102.3
1464.91,102.1
1545.18,101.6
1629.84,101.4
1719.15,101.3
1813.35,101.7
1912.71,102.3
2017.52,102.3
2128.06,102.2
2244.67,101.7
2367.66,101.4
2497.4,101.9
2634.24,102.4
2778.58,102.3
2930.83,101.7
3091.43,101.7
3260.82,102.4
3439.49,102.3
3627.96,101.6
3826.75,101.9
4036.43,102.4
4257.6,101.7
4490.9,101.9
4736.97,102.3
4996.53,101.6
5270.31,102.3
5559.09,101.8
5863.7,102.1
6185,101.9
6523.9,102.1
6881.37,101.8
7258.43,102.3
7656.15,101.7
8075.66,102.2
8518.16,102.1
8984.91,101.7
9477.23,102
9996.53,102.3
10544.28,102.1
11122.05,101.9
11731.47,101.8
12374.29,101.7
13052.33,101.7
13767.52,101.7
14521.9,101.8
15317.62,101.7
16156.94,101.3
17042.24,100.8
17976.06,100.7
18961.04,99.7
20000,99.2
