# alt-18s hr SPL
freq,value
35,73.7
36.92,74.6
38.94,75.6
41.07,76.5
43.33,77.4
45.7,78.3
48.2,79.2
50.84,80.1
53.63,81
56.57,81.9
59.67,82.8
62.94,83.7
66.39,84.6
70.02,85.4
73.86,86.3
77.91,87.2
82.18,88
86.68,88.8
91.43,89.5
96.44,90.2
101.72,90.9
107.3,91.4
113.18,91.8
119.38,92.1
125.92,92.4
132.82,92.9
140.1,93.7
147.77,94.5
155.87,95.3
164.41,95.9
173.42,96.3
182.92,96.5
192.95,96.8
203.52,96.9
214.67,97.1
226.43,97.2
238.84,97.3
251.93,97.3
265.73,97.4
280.29,97.5
295.65,97.5
311.85,97.6
328.94,97.7
346.96,97.9
365.97,98.2
386.03,98.4
407.18,98.6
429.49,98.7
453.02,98.9
477.85,99
504.03,99.3
531.65,99.6
560.78,100
591.51,100.4
623.92,100.7
658.1,100.9
694.16,100.8
732.2,100.5
772.32,100.2
814.64,99.9
859.28,99.7
906.36,99.5
956.02,99.3
1008.41,99.1
1063.66,99.3
1121.95,99.9
1183.42,100.5
1248.27,100.9
1316.66,101
1388.81,101.6
1464.91,101.3
1545.18,100.5
1629.84,100.3
1719.15,100.6
1813.35,101.2
1912.71,102.2
2017.52,102.5
2128.06,102.1
2244.67,101.7
2367.66,101.7
2497.4,102.9
2634.24,103.6
2778.58,103.3
2930.83,102
3091.43,101.6
3260.82,101.8
3439.49,100.6
3627.96,98.8
3826.75,98.6
4036.43,98.2
4257.6,96.1
4490.9,95.6
4736.97,94.8
4996.53,92.7
5270.31,92.6
5559.09,90.4
5863.7,89.8
6185,88
6523.9,87
6881.37,85.2
7258.43,84.6
7656.15,82.3
8075.66,81.6
8518.16,80.2
8984.91,78.2
9477.23,77.2
9996.53,76.2
10544.28,74.7
11122.05,73
11731.47,71.4
12374.29,70
13052.33,68.7
13767.52,67.4
14521.9,66.3
15317.62,65
16156.94,63.2
17042.24,61.8
17976.06,60.8
18961.04,58.9
20000,58
