# default s1 SPL
freq,value
35,82.4
36.92,83.3
38.94,84.2
41.07,85.1
43.33,86
45.7,86.8
48.2,87.7
50.84,88.5
53.63,89.3
56.57,90.1
59.67,90.8
62.94,91.4
66.39,91.9
70.02,92.3
73.86,92.6
77.91,92.8
82.18,93.1
86.68,93.6
91.43,94.3
96.44,95.1
101.72,95.7
107.3,96.2
113.18,96.5
119.38,96.7
125.92,96.8
132.82,97
140.1,97.1
147.77,97.2
155.87,97.3
164.41,97.3
173.42,97.4
182.92,97.4
192.95,97.4
203.52,97.4
214.67,97.6
226.43,97.7
238.84,97.7
251.93,97.7
265.73,97.5
280.29,97.3
295.65,97.1
311.85,96.9
328.94,96.8
346.96,96.9
365.97,97
386.03,97.1
407.18,97.2
429.49,97.2
453.02,97
477.85,96.9
504.03,97
531.65,97.4
560.78,97.8
591.51,98.1
623.92,98.1
658.1,98.3
694.16,98.7
732.2,99.1
772.32,99.2
814.64,99
859.28,99
906.36,99
956.02,98.5
1008.41,98.2
1063.66,98.2
1121.95,98
1183.42,98
1248.27,98.6
1316.66,98.8
1388.81,99.4
1464.91,99.4
1545.18,99.3
1629.84,98.7
1719.15,98.4
1813.35,98.2
1912.71,98.7
2017.52,99.2
2128.06,99.5
2244.67,99.2
2367.66,98.5
2497.4,98.3
2634.24,99
2778.58,99.5
2930.83,99.1
3091.43,98.5
3260.82,98.9
3439.49,99.5
3627.96,98.9
3826.75,98.5
4036.43,99.3
4257.6,99.1
4490.9,98.5
4736.97,99.5
4996.53,98.7
5270.31,99
5559.09,99.2
5863.7,98.7
6185,99.3
6523.9,98.7
6881.37,99.2
7258.43,99
7656.15,98.8
8075.66,99.4
8518.16,98.7
8984.91,98.8
9477.23,99.3
9996.53,99.1
10544.28,98.8
11122.05,98.6
11731.47,98.6
12374.29,98.6
13052.33,98.4
13767.52,98.3
14521.9,98.1
15317.62,98.1
16156.94,97.6
17042.24,96.6
17976.06,96.1
18961.04,94.9
20000,93.9
