# default rew SPL
freq,value
35,79.6
36.92,80.3
38.94,81.2
41.07,82.3
43.33,83.2
45.7,83.8
48.2,84.6
50.84,85.4
53.63,85.9
56.57,86.4
59.67,86.7
62.94,87
66.39,87.1
70.02,87.5
73.86,88
77.91,89
82.18,90
86.68,90.6
91.43,90.8
96.44,91.6
101.72,91.5
107.3,92.1
113.18,92
119.38,92
125.92,92.1
132.82,92.3
140.1,92.8
147.77,92.7
155.87,92.7
164.41,92.5
173.42,92.5
182.92,92.3
192.95,92.3
203.52,93
214.67,92.5
226.43,93.1
238.84,93.1
251.93,92.8
265.73,92.7
280.29,92.3
295.65,92.2
311.85,92
328.94,92.2
346.96,92.2
365.97,92.4
386.03,92.2
407.18,92.3
429.49,92.3
453.02,92.1
477.85,92.4
504.03,93.2
531.65,93.5
560.78,93.2
591.51,93.2
623.92,94.1
658.1,94.3
694.16,94.7
732.2,94.4
772.32,94.6
814.64,94.7
859.28,94.1
906.36,94.2
956.02,93.9
1008.41,93.5
1063.66,93.6
1121.95,93.5
1183.42,93.5
1248.27,94.2
1316.66,94.5
1388.81,95.3
1464.91,95.2
1545.18,94.2
1629.84,94.1
1719.15,93.6
1813.35,93.9
1912.71,94.4
2017.52,94.8
2128.06,95
2244.67,94.2
2367.66,93.5
2497.4,94.2
2634.24,95
2778.58,95.3
2930.83,94.5
3091.43,94.1
3260.82,94.6
3439.49,94.8
3627.96,94.3
3826.75,93.8
4036.43,94.8
4257.6,94.2
4490.9,94.3
4736.97,95
4996.53,94.3
5270.31,94.7
5559.09,94.3
5863.7,94.3
6185,94.9
6523.9,94.6
6881.37,94.4
7258.43,94.4
7656.15,93.9
8075.66,94.8
8518.16,94.2
8984.91,94.4
9477.23,94.7
9996.53,94.7
10544.28,94.6
11122.05,94.3
11731.47,93.8
12374.29,94.3
13052.33,93.8
13767.52,93.7
14521.9,94
15317.62,94.1
16156.94,93.8
17042.24,92.6
17976.06,92.8
18961.04,91.3
20000,90.8
