# default s1 phase
freq,value
35,47.5
36.92,49.9
38.94,52.3
41.07,54.9
43.33,57.7
45.7,60.6
48.2,63.6
50.84,64.1
53.63,63.8
56.57,63.4
59.67,63
62.94,62.6
66.39,62.2
70.02,61.8
73.86,61.2
77.91,60.1
82.18,59
86.68,57.8
91.43,56.5
96.44,55.2
101.72,51.8
107.3,47.7
113.18,43.3
119.38,38.7
125.92,36.1
132.82,35
140.1,33.9
147.77,32.4
155.87,29.4
164.41,26.2
173.42,23.8
182.92,23.7
192.95,23.6
203.52,22.2
214.67,20.4
226.43,19
238.84,17.9
251.93,16.1
265.73,13.8
280.29,13.9
295.65,14.6
311.85,14.8
328.94,16.2
346.96,17.3
365.97,16.3
386.03,16.4
407.18,15.8
429.49,17
453.02,18.8
477.85,20.6
504.03,20.8
531.65,20.2
560.78,19
591.51,20.3
623.92,20.1
658.1,17.5
694.16,14.7
732.2,13.4
772.32,11.3
814.64,7.7
859.28,5.7
906.36,5.3
956.02,4.7
1008.41,6.2
1063.66,8.7
1121.95,10.9
1183.42,13
1248.27,13.2
1316.66,11.8
1388.81,8.4
1464.91,4.5
1545.18,2.1
1629.84,1.9
1719.15,4.8
1813.35,8.9
1912.71,9.8
2017.52,7
2128.06,2.8
2244.67,0.9
2367.66,3.1
2497.4,7.2
2634.24,7.1
2778.58,2.3
2930.83,-0.2
3091.43,3.5
3260.82,6.2
3439.49,2.1
3627.96,0.3
3826.75,4.3
4036.43,3.1
4257.6,0.2
4490.9,3.4
4736.97,2.1
4996.53,1
5270.31,2.4
5559.09,0.7
5863.7,1.3
6185,1
6523.9,0.7
6881.37,1.4
7258.43,0
7656.15,1.1
8075.66,0.6
8518.16,-1.5
8984.91,1
9477.23,1.3
9996.53,-1.4
10544.28,-2.7
11122.05,-2.1
11731.47,-1.2
12374.29,-0.3
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
