# alt-18s hr SPL
freq,value
35,72.8
36.92,73.7
38.94,74.6
41.07,75.5
43.33,76.4
45.7,77.3
48.2,78.2
50.84,79.1
53.63,80
56.57,80.9
59.67,81.8
62.94,82.7
66.39,83.6
70.02,84.5
73.86,85.3
77.91,86.2
82.18,87
86.68,87.8
91.43,88.6
96.44,89.3
101.72,90
107.3,90.5
113.18,90.9
119.38,91.2
125.92,91.6
132.82,92.2
140.1,92.9
147.77,93.8
155.87,94.7
164.41,95.3
173.42,95.8
182.92,96.1
192.95,96.4
203.52,96.7
214.67,96.9
226.43,97.1
238.84,97.3
251.93,97.5
265.73,97.7
280.29,97.9
295.65,98.1
311.85,98.3
328.94,98.2
346.96,98.5
365.97,98.8
386.03,99.1
407.18,99.4
429.49,99.7
453.02,99.9
477.85,100
504.03,100
531.65,99.9
560.78,99.9
591.51,99.9
623.92,100
658.1,100.1
694.16,100
732.2,99.8
772.32,99.5
814.64,99.3
859.28,99.3
906.36,99.5
956.02,99.8
1008.41,100
1063.66,100.2
1121.95,100.4
1183.42,100.8
1248.27,100.8
1316.66,100.4
1388.81,100.6
1464.91,100.5
1545.18,100.4
1629.84,100.5
1719.15,101.2
1813.35,101.5
1912.71,101.6
2017.52,101.5
2128.06,101.1
2244.67,101.3
2367.66,101.9
2497.4,102.6
2634.24,102.5
2778.58,102
2930.83,101.5
3091.43,101.6
3260.82,101
3439.49,99.6
3627.96,98.9
3826.75,98.7
4036.43,97.4
4257.6,96.1
4490.9,95.8
4736.97,94.2
4996.53,93.1
5270.31,92.2
5559.09,90.4
5863.7,89.8
6185,87.9
6523.9,87.1
6881.37,85.2
7258.43,84.4
7656.15,82.6
8075.66,81.2
8518.16,80.3
8984.91,78.5
9477.23,77
9996.53,75.9
10544.28,74.7
11122.05,73.3
11731.47,71.8
12374.29,70.3
13052.33,69
13767.52,67.7
14521.9,66.3
15317.62,64.7
16156.94,63.1
17042.24,62
17976.06,60.6
18961.04,59.1
20000,57.7
