# alt-18s hr SPL
freq,value
35,76.1
36.92,77
38.94,78
41.07,78.9
43.33,79.9
45.7,80.8
48.2,81.7
50.84,82.7
53.63,83.6
56.57,84.6
59.67,85.5
62.94,86.5
66.39,87.4
70.02,88.3
73.86,89.2
77.91,90.1
82.18,91
86.68,91.9
91.43,92.7
96.44,93.5
101.72,94.2
107.3,94.8
113.18,95.3
119.38,95.7
125.92,96.1
132.82,96.7
140.1,97.5
147.77,98.5
155.87,99.3
164.41,100
173.42,100.5
182.92,100.9
192.95,101.1
203.52,101.4
214.67,101.6
226.43,101.7
238.84,101.8
251.93,101.9
265.73,101.9
280.29,101.9
295.65,101.9
311.85,101.9
328.94,101.6
346.96,101.4
365.97,101.3
386.03,101.3
407.18,101.3
429.49,101.4
453.02,101.5
477.85,101.5
504.03,101.6
531.65,101.6
560.78,101.6
591.51,101.8
623.92,102.1
658.1,102.5
694.16,103.1
732.2,103.6
772.32,103.9
814.64,103.9
859.28,103.8
906.36,103.7
956.02,103.5
1008.41,103.2
1063.66,102.6
1121.95,102.2
1183.42,102.2
1248.27,102.7
1316.66,103.2
1388.81,104.3
1464.91,104.9
1545.18,105.1
1629.84,104.5
1719.15,103.9
1813.35,103.7
1912.71,104
2017.52,105.1
2128.06,105.9
2244.67,106
2367.66,105.5
2497.4,105.3
2634.24,106.2
2778.58,107
2930.83,106.4
3091.43,104.8
3260.82,104
3439.49,104.1
3627.96,102.9
3826.75,101
4036.43,101
4257.6,100.1
4490.9,98
4736.97,97.9
4996.53,96.3
5270.31,94.8
5559.09,94.3
5863.7,92
6185,91.8
6523.9,89.4
6881.37,88.9
7258.43,86.9
7656.15,85.7
8075.66,84.8
8518.16,82.6
8984.91,81.6
9477.23,80.7
9996.53,78.9
10544.28,77.1
11122.05,75.7
11731.47,74.4
12374.29,73
13052.33,71.6
13767.52,70.2
14521.9,68.8
15317.62,67.8
16156.94,66.6
17042.24,64.7
17976.06,63.6
18961.04,62.1
20000,60.9
