# default s1 SPL
freq,value
35,81.9
36.92,82.8
38.94,83.6
41.07,84.5
43.33,85.3
45.7,86.1
48.2,86.9
50.84,87.6
53.63,88.3
56.57,88.9
59.67,89.4
62.94,89.8
66.39,90
70.02,90.3
73.86,90.6
77.91,91.2
82.18,92
86.68,92.7
91.43,93.3
96.44,93.7
101.72,93.9
107.3,94.1
113.18,94.2
119.38,94.3
125.92,94.4
132.82,94.5
140.1,94.5
147.77,94.6
155.87,94.6
164.41,94.6
173.42,94.6
182.92,94.6
192.95,94.5
203.52,94.6
214.67,94.8
226.43,95
238.84,95.1
251.93,95.2
265.73,95.2
280.29,95.1
295.65,95.1
311.85,95.2
328.94,95.4
346.96,95.8
365.97,96.3
386.03,96.6
407.18,96.9
429.49,96.9
453.02,96.9
477.85,97.1
504.03,97.5
531.65,97.7
560.78,97.6
591.51,97.2
623.92,96.9
658.1,96.9
694.16,96.8
732.2,96.3
772.32,96.1
814.64,96.4
859.28,96.6
906.36,96.8
956.02,97.5
1008.41,97.8
1063.66,97.9
1121.95,98
1183.42,97.4
1248.27,97
1316.66,96.6
1388.81,96.7
1464.91,97.1
1545.18,97.8
1629.84,98
1719.15,97.8
1813.35,97
1912.71,96.7
2017.52,97.3
2128.06,98
2244.67,97.9
2367.66,97.1
2497.4,96.8
2634.24,97.7
2778.58,98
2930.83,97.1
3091.43,97
3260.82,97.9
3439.49,97.4
3627.96,97.1
3826.75,98
4036.43,97.2
4257.6,97.4
4490.9,97.8
4736.97,97
4996.53,98
5270.31,97.1
5559.09,98
5863.7,97.2
6185,97.7
6523.9,97.6
6881.37,97.1
7258.43,97.8
7656.15,97.7
8075.66,97.2
8518.16,97.2
8984.91,97.6
9477.23,97.8
9996.53,97.8
10544.28,97.8
11122.05,97.7
11731.47,97.6
12374.29,97.2
13052.33,96.9
13767.52,97.1
14521.9,96.9
15317.62,96.2
16156.94,96.2
17042.24,95.2
17976.06,94.4
18961.04,93.7
20000,92.5
