# default s2 SPL
freq,value
35,87.2
36.92,88.1
38.94,88.9
41.07,89.8
43.33,90.6
45.7,91.4
48.2,92.2
50.84,93
53.63,93.6
56.57,94.3
59.67,94.7
62.94,95.1
66.39,95.4
70.02,95.6
73.86,96
77.91,96.6
82.18,97.4
86.68,98.2
91.43,98.8
96.44,99.2
101.72,99.5
107.3,99.7
113.18,99.9
119.38,100
125.92,100.1
132.82,100.2
140.1,100.4
147.77,100.4
155.87,100.5
164.41,100.6
173.42,100.7
182.92,100.8
192.95,101.2
203.52,101.2
214.67,101.2
226.43,101.2
238.84,101.2
251.93,101.2
265.73,101.4
280.29,101.7
295.65,102
311.85,102.4
328.94,102.6
346.96,102.8
365.97,102.7
386.03,102.7
407.18,102.7
429.49,102.9
453.02,103.2
477.85,103.3
504.03,103.1
531.65,102.8
560.78,102.6
591.51,102.7
623.92,102.7
658.1,102.5
694.16,102.2
732.2,102.4
772.32,102.8
814.64,102.9
859.28,103.1
906.36,103.6
956.02,103.7
1008.41,103.6
1063.66,103.7
1121.95,103.2
1183.42,103
1248.27,102.8
1316.66,102.8
1388.81,103.3
1464.91,103.7
1545.18,103.9
1629.84,103.7
1719.15,103.1
1813.35,103
1912.71,103.2
2017.52,103.6
2128.06,103.9
2244.67,103.5
2367.66,103
2497.4,103.3
2634.24,103.9
2778.58,103.5
2930.83,103
3091.43,103.5
3260.82,103.9
3439.49,103.2
3627.96,103.4
3826.75,103.8
4036.43,103.2
4257.6,103.7
4490.9,103.4
4736.97,103.5
4996.53,103.6
5270.31,103.3
5559.09,103.6
5863.7,103.5
6185,103.3
6523.9,103.8
6881.37,103.2
7258.43,103.5
7656.15,103.8
8075.66,103.4
8518.16,103.2
8984.91,103.3
9477.23,103.5
9996.53,103.6
10544.28,103.6
11122.05,103.6
11731.47,103.4
12374.29,103.2
13052.33,103.3
13767.52,103.5
14521.9,103.1
15317.62,103
16156.94,102.8
17042.24,102.5
17976.06,101.8
18961.04,101.3
20000,100.6
