# default s1 distortion
freq,value
35,3.427
36.92,3.714
38.94,3.999
41.07,4.279
43.33,4.549
45.7,4.803
48.2,5.037
50.84,5.246
53.63,5.428
56.57,5.576
59.67,5.688
62.94,5.763
66.39,5.797
70.02,5.792
73.86,5.745
77.91,5.659
82.18,5.536
86.68,5.378
91.43,5.188
96.44,4.971
101.72,4.73
107.3,4.471
113.18,4.198
119.38,3.916
125.92,3.63
132.82,3.344
140.1,3.061
147.77,2.787
155.87,2.523
164.41,2.273
173.42,2.038
182.92,1.82
192.95,1.619
203.52,1.436
214.67,1.272
226.43,1.125
238.84,0.995
251.93,0.881
265.73,0.783
280.29,0.698
295.65,0.625
311.85,0.564
328.94,0.513
346.96,0.47
365.97,0.435
386.03,0.407
407.18,0.383
429.49,0.365
453.02,0.35
477.85,0.338
504.03,0.329
531.65,0.322
560.78,0.316
591.51,0.312
623.92,0.309
658.1,0.307
694.16,0.305
732.2,0.303
772.32,0.302
814.64,0.302
859.28,0.301
906.36,0.301
956.02,0.301
1008.41,0.3
1063.66,0.3
1121.95,0.3
1183.42,0.3
1248.27,0.3
1316.66,0.3
1388.81,0.3
1464.91,0.3
1545.18,0.3
1629.84,0.3
1719.15,0.3
1813.35,0.3
1912.71,0.3
2017.52,0.3
2128.06,0.3
2244.67,0.3
2367.66,0.3
2497.4,0.3
2634.24,0.3
2778.58,0.3
2930.83,0.3
3091.43,0.3
3260.82,0.3
3439.49,0.3
3627.96,0.3
3826.75,0.3
4036.43,0.3
4257.6,0.3
4490.9,0.3
4736.97,0.3
4996.53,0.3
5270.31,0.3
5559.09,0.3
5863.7,0.3
6185,0.3
6523.9,0.3
6881.37,0.3
7258.43,0.3
7656.15,0.3
8075.66,0.3
8518.16,0.3
8984.91,0.3
9477.23,0.3
9996.53,0.3
10544.28,0.3
11122.05,0.3
11731.47,0.3
12374.29,0.3
13052.33,0.3
13767.52,0.3
14521.9,0.3
15317.62,0.3
16156.94,0.3
17042.24,0.3
17976.06,0.3
18961.04,0.3
20000,0.3
