# default s1 power compression
freq,value
35,73.2
36.92,74.1
38.94,75
41.07,75.9
43.33,76.8
45.7,77.7
48.2,78.6
50.84,79.4
53.63,80.3
56.57,81.2
59.67,82
62.94,82.8
66.39,83.7
70.02,84.5
73.86,85.2
77.91,85.9
82.18,86.6
86.68,87.1
91.43,87.5
96.44,87.8
101.72,88.1
107.3,88.4
113.18,88.9
119.38,89.7
125.92,90.5
132.82,91.1
140.1,91.5
147.77,91.8
155.87,92
164.41,92.1
173.42,92.2
182.92,92.2
192.95,92.2
203.52,92.2
214.67,92.2
226.43,92.2
238.84,92.1
251.93,92.1
265.73,92
280.29,92
295.65,92.1
311.85,92.3
328.94,92.4
346.96,92.5
365.97,92.6
386.03,92.7
407.18,92.8
429.49,93
453.02,93.4
477.85,93.8
504.03,94.3
531.65,94.8
560.78,95
591.51,95.1
623.92,94.9
658.1,94.6
694.16,94.3
732.2,94.1
772.32,93.8
814.64,93.3
859.28,93
906.36,93.1
956.02,93.7
1008.41,94.3
1063.66,94.7
1121.95,95.1
1183.42,95.3
1248.27,94.8
1316.66,93.9
1388.81,93.5
1464.91,93.5
1545.18,94
1629.84,95.1
1719.15,95.3
1813.35,94.8
1912.71,93.8
2017.52,93.6
2128.06,94.5
2244.67,95.3
2367.66,94.8
2497.4,93.8
2634.24,94
2778.58,95.2
2930.83,94.8
3091.43,93.7
3260.82,94.6
3439.49,95.1
3627.96,93.8
3826.75,94.8
4036.43,94.8
4257.6,93.9
4490.9,95.2
4736.97,93.9
4996.53,95
5270.31,94
5559.09,95.1
5863.7,93.9
6185,95.1
6523.9,94.1
6881.37,94.4
7258.43,95
7656.15,94.2
8075.66,94
8518.16,94.5
8984.91,94.9
9477.23,94.9
9996.53,94.8
10544.28,94.7
11122.05,94.7
11731.47,94.8
12374.29,94.5
13052.33,93.9
13767.52,93.8
14521.9,94.1
15317.62,93.1
16156.94,93.3
17042.24,92
17976.06,91.6
18961.04,90.8
20000,89.4
