# default s1 SPL 4x
freq,value
35,87.2
36.92,88.1
38.94,89
41.07,89.9
43.33,90.8
45.7,91.7
48.2,92.6
50.84,93.5
53.63,94.3
56.57,95.2
59.67,96
62.94,96.8
66.39,97.6
70.02,98.4
73.86,99.2
77.91,99.8
82.18,100.5
86.68,101
91.43,101.4
96.44,101.6
101.72,101.8
107.3,102.1
113.18,102.6
119.38,103.3
125.92,104
132.82,104.6
140.1,104.9
147.77,105.1
155.87,105.2
164.41,105.2
173.42,105.2
182.92,105.1
192.95,105
203.52,104.9
214.67,104.8
226.43,104.6
238.84,104.4
251.93,104.3
265.73,104.1
280.29,104
295.65,104
311.85,104
328.94,104
346.96,104
365.97,104
386.03,104
407.18,104
429.49,104.1
453.02,104.4
477.85,104.7
504.03,105.2
531.65,105.6
560.78,105.8
591.51,105.7
623.92,105.5
658.1,105.1
694.16,104.8
732.2,104.6
772.32,104.2
814.64,103.7
859.28,103.3
906.36,103.4
956.02,104
1008.41,104.6
1063.66,105
1121.95,105.3
1183.42,105.5
1248.27,105
1316.66,104.1
1388.81,103.7
1464.91,103.7
1545.18,104.2
1629.84,105.2
1719.15,105.4
1813.35,104.9
1912.71,103.9
2017.52,103.7
2128.06,104.5
2244.67,105.4
2367.66,104.8
2497.4,103.8
2634.24,104
2778.58,105.2
2930.83,104.8
3091.43,103.7
3260.82,104.6
3439.49,105.1
3627.96,103.9
3826.75,104.8
4036.43,104.9
4257.6,103.9
4490.9,105.2
4736.97,103.9
4996.53,105
5270.31,104
5559.09,105.1
5863.7,103.9
6185,105.1
6523.9,104.1
6881.37,104.4
7258.43,105
7656.15,104.3
8075.66,104
8518.16,104.6
8984.91,104.9
9477.23,105
9996.53,104.8
10544.28,104.8
11122.05,104.7
11731.47,104.8
12374.29,104.5
13052.33,103.9
13767.52,103.8
14521.9,104.2
15317.62,103.2
16156.94,103.3
17042.24,102
17976.06,101.6
18961.04,100.8
20000,99.4
