# alt-18s hr SPL
freq,value
35,75.3
36.92,76.3
38.94,77.2
41.07,78.2
43.33,79.1
45.7,80.1
48.2,81
50.84,82
53.63,82.9
56.57,83.9
59.67,84.8
62.94,85.8
66.39,86.7
70.02,87.6
73.86,88.6
77.91,89.5
82.18,90.4
86.68,91.2
91.43,92.1
96.44,92.8
101.72,93.4
107.3,94
113.18,94.4
119.38,94.9
125.92,95.5
132.82,96.2
140.1,97.2
147.77,98.2
155.87,98.9
164.41,99.5
173.42,99.9
182.92,100.2
192.95,100.5
203.52,100.7
214.67,100.9
226.43,101
238.84,101
251.93,101.1
265.73,101.1
280.29,101
295.65,101
311.85,100.9
328.94,100.9
346.96,100.8
365.97,100.6
386.03,100.5
407.18,100.5
429.49,100.6
453.02,100.9
477.85,101.2
504.03,101.7
531.65,102.1
560.78,102.4
591.51,102.7
623.92,102.9
658.1,103.1
694.16,103.3
732.2,103.5
772.32,103.4
814.64,102.9
859.28,102.3
906.36,101.8
956.02,101.7
1008.41,101.9
1063.66,102.3
1121.95,102.7
1183.42,104
1248.27,104.6
1316.66,104.5
1388.81,103.8
1464.91,103.3
1545.18,103.3
1629.84,103.8
1719.15,104.9
1813.35,105.7
1912.71,105.4
2017.52,105
2128.06,104.9
2244.67,105.9
2367.66,106.2
2497.4,104.9
2634.24,103.1
2778.58,103
2930.83,102.8
3091.43,101
3260.82,99.7
3439.49,99.9
3627.96,98.2
3826.75,96.6
4036.43,96.6
4257.6,94.2
4490.9,93.7
4736.97,92.1
4996.53,90.7
5270.31,89.7
5559.09,88.1
5863.7,86.7
6185,85.7
6523.9,83.5
6881.37,83.1
7258.43,81.3
7656.15,79.4
8075.66,78.5
8518.16,77.5
8984.91,76
9477.23,74.3
9996.53,72.8
10544.28,71.4
11122.05,70.1
11731.47,68.9
12374.29,67.7
13052.33,66.1
13767.52,64.2
14521.9,63.3
15317.62,61.8
16156.94,60.4
17042.24,58.8
17976.06,57.9
18961.04,56.3
20000,54.7
