# alt-18s rew SPL
freq,value
35,77
36.92,78.4
38.94,79.1
41.07,80.1
43.33,80.9
45.7,82
48.2,82.5
50.84,83.9
53.63,84.6
56.57,85.2
59.67,86.6
62.94,87
66.39,88.2
70.02,88.7
73.86,90
77.91,90.5
82.18,91.5
86.68,92.5
91.43,92.8
96.44,93.5
101.72,94
107.3,94.5
113.18,95.1
119.38,95.3
125.92,96
132.82,96.8
140.1,97.4
147.77,98.1
155.87,99.2
164.41,99.4
173.42,99.8
182.92,100.1
192.95,100.7
203.52,101
214.67,100.7
226.43,101.2
238.84,100.9
251.93,101.2
265.73,101.1
280.29,100.9
295.65,100.7
311.85,101.2
328.94,101.1
346.96,100.5
365.97,100.7
386.03,100.5
407.18,100.5
429.49,100.7
453.02,101
477.85,101.2
504.03,101.4
531.65,101.8
560.78,102.5
591.51,102.9
623.92,102.9
658.1,102.9
694.16,103.1
732.2,103.2
772.32,103.5
814.64,102.8
859.28,102.2
906.36,101.8
956.02,101.6
1008.41,102.1
1063.66,102.1
1121.95,102.5
1183.42,103.8
1248.27,104.8
1316.66,104.5
1388.81,103.6
1464.91,103.4
1545.18,103.1
1629.84,103.8
1719.15,105.1
1813.35,105.7
1912.71,105.6
2017.52,105
2128.06,105.1
2244.67,105.7
2367.66,105.9
2497.4,104.7
2634.24,103.4
2778.58,103.3
2930.83,102.7
3091.43,100.8
3260.82,100
3439.49,99.9
3627.96,98
3826.75,96.9
4036.43,96.8
4257.6,94
4490.9,93.9
4736.97,92.3
4996.53,90.5
5270.31,89.6
5559.09,88
5863.7,86.9
6185,85.8
6523.9,83.6
6881.37,82.9
7258.43,81.5
7656.15,79.3
8075.66,78.4
8518.16,77.6
8984.91,76.1
9477.23,74.1
9996.53,72.5
10544.28,71.3
11122.05,70.3
11731.47,69.1
12374.29,67.8
13052.33,66.2
13767.52,64.4
14521.9,63.4
15317.62,61.7
16156.94,60.7
17042.24,58.7
17976.06,57.7
18961.04,56.2
20000,54.7
