# default s1 SPL
freq,value
35,74.7
36.92,75.6
38.94,76.6
41.07,77.5
43.33,78.4
45.7,79.4
48.2,80.3
50.84,81.2
53.63,82.1
56.57,83.1
59.67,84
62.94,84.8
66.39,85.7
70.02,86.6
73.86,87.4
77.91,88.2
82.18,88.9
86.68,89.6
91.43,90.1
96.44,90.5
101.72,90.8
107.3,91.3
113.18,91.9
119.38,92.8
125.92,93.7
132.82,94.4
140.1,95
147.77,95.4
155.87,95.7
164.41,95.9
173.42,96.1
182.92,96.3
192.95,96.4
203.52,96.5
214.67,96.5
226.43,96.5
238.84,96.5
251.93,96.5
265.73,96.5
280.29,96.7
295.65,96.7
311.85,96.7
328.94,96.6
346.96,96.5
365.97,96.4
386.03,96.3
407.18,96.3
429.49,96.5
453.02,96.7
477.85,97.1
504.03,97.5
531.65,97.9
560.78,98.1
591.51,98.2
623.92,98.3
658.1,98.5
694.16,98.7
732.2,98.7
772.32,98.5
814.64,98
859.28,97.5
906.36,97.5
956.02,97.6
1008.41,97.7
1063.66,97.9
1121.95,98.5
1183.42,99.8
1248.27,99.8
1316.66,99.5
1388.81,99.3
1464.91,98.9
1545.18,99.1
1629.84,100
1719.15,100.6
1813.35,101.2
1912.71,100.9
2017.52,100.8
2128.06,101.1
2244.67,101.9
2367.66,101.8
2497.4,100.5
2634.24,99.1
2778.58,98.8
2930.83,98.4
3091.43,96.5
3260.82,95.5
3439.49,95.3
3627.96,93.6
3826.75,92.4
4036.43,92
4257.6,89.8
4490.9,89.3
4736.97,87.5
4996.53,86.4
5270.31,85
5559.09,83.8
5863.7,82.1
6185,81.3
6523.9,79.1
6881.37,78.4
7258.43,77
7656.15,75
8075.66,73.9
8518.16,72.9
8984.91,71.5
9477.23,70
9996.53,68.4
10544.28,67
11122.05,65.7
11731.47,64.4
12374.29,63.1
13052.33,61.5
13767.52,59.8
14521.9,58.9
15317.62,57.2
16156.94,56
17042.24,54.3
17976.06,53.3
18961.04,51.8
20000,50.3
