# default s1 SPL
freq,value
35,85.9
36.92,86.5
38.94,87.2
41.07,87.6
43.33,88
45.7,88.3
48.2,88.5
50.84,88.9
53.63,89.5
56.57,90.2
59.67,91
62.94,91.6
66.39,92
70.02,92.3
73.86,92.5
77.91,92.6
82.18,92.8
86.68,92.9
91.43,93
96.44,93.1
101.72,93.2
107.3,93.3
113.18,93.3
119.38,93.4
125.92,93.4
132.82,93.8
140.1,93.9
147.77,93.9
155.87,93.8
164.41,93.6
173.42,93.4
182.92,93.3
192.95,93.2
203.52,93.3
214.67,93.5
226.43,93.7
238.84,93.7
251.93,93.6
265.73,93.3
280.29,93
295.65,92.9
311.85,93
328.94,93.3
346.96,93.3
365.97,93.1
386.03,92.8
407.18,92.9
429.49,93.4
453.02,93.6
477.85,93.5
504.03,93.6
531.65,94.2
560.78,94.5
591.51,94.5
623.92,95
658.1,95.3
694.16,95
732.2,95.2
772.32,94.9
814.64,94.5
859.28,94.4
906.36,93.9
956.02,94.1
1008.41,94
1063.66,94.6
1121.95,94.9
1183.42,95.3
1248.27,95.6
1316.66,95.1
1388.81,94.7
1464.91,94.4
1545.18,94.3
1629.84,94.6
1719.15,95.2
1813.35,95.4
1912.71,95
2017.52,94.3
2128.06,94.4
2244.67,95.1
2367.66,95.6
2497.4,94.9
2634.24,94.3
2778.58,95.1
2930.83,95.4
3091.43,94.8
3260.82,94.6
3439.49,95.4
3627.96,94.8
3826.75,94.7
4036.43,95.4
4257.6,94.5
4490.9,95.2
4736.97,94.9
4996.53,95
5270.31,95
5559.09,95
5863.7,94.8
6185,95.3
6523.9,94.6
6881.37,95.2
7258.43,95.1
7656.15,94.7
8075.66,95
8518.16,95.3
8984.91,95.3
9477.23,95.1
9996.53,94.9
10544.28,94.9
11122.05,95
11731.47,95.1
12374.29,95.2
13052.33,94.9
13767.52,94.5
14521.9,94.8
15317.62,94.5
16156.94,94.3
17042.24,93.8
17976.06,93.6
18961.04,92.9
20000,91.9
