# default s1 SPL
freq,value
35,73.3
36.92,74.3
38.94,75.2
41.07,76.1
43.33,77
45.7,78
48.2,78.9
50.84,79.8
53.63,80.7
56.57,81.6
59.67,82.5
62.94,83.4
66.39,84.3
70.02,85.2
73.86,86.1
77.91,86.9
82.18,87.7
86.68,88.4
91.43,89.1
96.44,89.6
101.72,90
107.3,90.5
113.18,91.1
119.38,91.9
125.92,92.8
132.82,93.8
140.1,94.6
147.77,95.3
155.87,95.7
164.41,96.1
173.42,96.5
182.92,96.7
192.95,97
203.52,97.2
214.67,97.4
226.43,97.5
238.84,97.6
251.93,97.7
265.73,97.8
280.29,97.9
295.65,98.3
311.85,98.4
328.94,98.6
346.96,98.6
365.97,98.7
386.03,98.7
407.18,98.8
429.49,99
453.02,99.3
477.85,99.6
504.03,100
531.65,100.4
560.78,100.5
591.51,100.5
623.92,100.3
658.1,100.1
694.16,100
732.2,100
772.32,99.9
814.64,99.6
859.28,99.4
906.36,99.5
956.02,99.9
1008.41,100.4
1063.66,100.6
1121.95,100.7
1183.42,101.3
1248.27,101.2
1316.66,100.6
1388.81,100.5
1464.91,100.7
1545.18,101
1629.84,101.7
1719.15,102.1
1813.35,101.8
1912.71,101.6
2017.52,101.6
2128.06,102.4
2244.67,102.7
2367.66,102.2
2497.4,101
2634.24,100.6
2778.58,100.5
2930.83,99.3
3091.43,98
3260.82,97.7
3439.49,96.9
3627.96,95.1
3826.75,94.6
4036.43,93.5
4257.6,91.8
4490.9,91.2
4736.97,89.2
4996.53,88.6
5270.31,86.7
5559.09,86
5863.7,83.9
6185,83.2
6523.9,81.3
6881.37,80.1
7258.43,79
7656.15,77.2
8075.66,75.7
8518.16,74.6
8984.91,73.4
9477.23,72
9996.53,70.6
10544.28,69.2
11122.05,67.8
11731.47,66.5
12374.29,65
13052.33,63.3
13767.52,62
14521.9,60.9
15317.62,59.1
16156.94,58.1
17042.24,56.3
17976.06,55.2
18961.04,53.9
20000,52.4
