# default s1 phase
freq,value
35,74.5
36.92,78.1
38.94,81.8
41.07,85.7
43.33,89.8
45.7,94.1
48.2,98.7
50.84,94.3
53.63,86.5
56.57,78.4
59.67,69.8
62.94,60.7
66.39,51.1
70.02,41
73.86,30.7
77.91,21.6
82.18,12.1
86.68,2
91.43,-8.7
96.44,-19.9
101.72,-29.5
107.3,-39.1
113.18,-49.1
119.38,-59.7
125.92,-69.9
132.82,-79.8
140.1,-90.3
147.77,-101.4
155.87,-114
164.41,-127.2
173.42,-140.5
182.92,-153.1
192.95,-166.3
203.52,-182.7
214.67,-200.8
226.43,-218.1
238.84,-235.1
251.93,-252.4
265.73,-270.3
280.29,-284.2
295.65,-297.6
311.85,-311.4
328.94,-323.7
346.96,-335.7
365.97,-348.7
386.03,-357.1
407.18,-364.7
429.49,-370
453.02,-375.4
477.85,-381.1
504.03,-386.8
531.65,-390.3
560.78,-393.5
591.51,-397.7
623.92,-404.5
658.1,-410.4
694.16,-414.9
732.2,-421.1
772.32,-426.5
814.64,-428.3
859.28,-428.5
906.36,-427.5
956.02,-425.9
1008.41,-425.2
1063.66,-425.7
1121.95,-428.9
1183.42,-433.5
1248.27,-436.4
1316.66,-435
1388.81,-430.4
1464.91,-426.3
1545.18,-426.6
1629.84,-430.9
1719.15,-435
1813.35,-432.9
1912.71,-428.1
2017.52,-428.3
2128.06,-431.6
2244.67,-428.4
2367.66,-420
2497.4,-416.7
2634.24,-415.6
2778.58,-406.8
2930.83,-399.6
3091.43,-396.2
3260.82,-386.6
3439.49,-379.8
3627.96,-372.3
3826.75,-362.2
4036.43,-353.2
4257.6,-342.2
4490.9,-330.2
4736.97,-317.2
4996.53,-298.6
5270.31,-280.5
5559.09,-266
5863.7,-248.6
6185,-236.9
6523.9,-225.8
6881.37,-210.5
7258.43,-194.7
7656.15,-180.9
8075.66,-167.9
8518.16,-154.5
8984.91,-140.2
9477.23,-124.8
9996.53,-107.2
10544.28,-86
11122.05,-63.3
11731.47,-40.5
12374.29,-9.1
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
