# default s1 power compression
freq,value
35,70.1
36.92,72.4
38.94,74.7
41.07,76.9
43.33,79.2
45.7,81.4
48.2,83.6
50.84,85.7
53.63,87.7
56.57,89.5
59.67,91.1
62.94,92.4
66.39,93.4
70.02,94.1
73.86,94.6
77.91,94.9
82.18,95.1
86.68,95.2
91.43,95.3
96.44,95.4
101.72,95.4
107.3,95.5
113.18,95.5
119.38,95.6
125.92,95.6
132.82,95.6
140.1,95.6
147.77,95.6
155.87,95.5
164.41,95
173.42,94.8
182.92,94.6
192.95,94.2
203.52,93.8
214.67,93.1
226.43,92.1
238.84,90.7
251.93,89
265.73,87
280.29,84.8
295.65,82.6
311.85,80.3
328.94,78
346.96,75.5
365.97,72.7
386.03,69.7
407.18,66.6
429.49,63.8
453.02,61.3
477.85,58.8
504.03,56.1
531.65,53.3
560.78,51
591.51,48.9
623.92,46.5
658.1,43.8
694.16,41.2
732.2,38.6
772.32,35.3
814.64,32
859.28,29.1
906.36,26.2
956.02,23.7
1008.41,21.4
1063.66,19.2
1121.95,17.1
1183.42,14.2
1248.27,11.3
1316.66,7.8
1388.81,5
1464.91,2.9
1545.18,1
1629.84,-1.1
1719.15,-4.3
1813.35,-7.9
1912.71,-10.5
2017.52,-12.5
2128.06,-15.7
2244.67,-19.8
2367.66,-22.7
2497.4,-24.6
2634.24,-28.1
2778.58,-31.7
2930.83,-33.6
3091.43,-36.7
3260.82,-40.1
3439.49,-41.9
3627.96,-45.7
3826.75,-47.8
4036.43,-51
4257.6,-53.5
4490.9,-56.5
4736.97,-59
4996.53,-62.4
5270.31,-63.1
5559.09,-65.4
5863.7,-66.5
6185,-67.3
6523.9,-69.3
6881.37,-71
7258.43,-72.2
7656.15,-73.2
8075.66,-74.5
8518.16,-75.8
8984.91,-77.3
9477.23,-78.8
9996.53,-80.5
10544.28,-82.1
11122.05,-83.1
11731.47,-84.2
12374.29,-86.2
13052.33,-87
13767.52,-89
14521.9,-90
15317.62,-91.2
16156.94,-92.9
17042.24,-94.3
17976.06,-95.7
18961.04,-96.9
20000,-98.3
