# default s1 SPL
freq,value
35,72.6
36.92,74.9
38.94,77.2
41.07,79.5
43.33,81.8
45.7,84.1
48.2,86.3
50.84,88.5
53.63,90.5
56.57,92.4
59.67,94
62.94,95.4
66.39,96.4
70.02,97.2
73.86,97.7
77.91,98.1
82.18,98.4
86.68,98.5
91.43,98.7
96.44,98.8
101.72,98.9
107.3,99
113.18,99.1
119.38,99.1
125.92,99.2
132.82,99.2
140.1,99.3
147.77,99.3
155.87,99.2
164.41,98.7
173.42,98.6
182.92,98.3
192.95,98
203.52,97.6
214.67,96.9
226.43,95.9
238.84,94.6
251.93,92.9
265.73,90.9
280.29,88.7
295.65,86.5
311.85,84.2
328.94,81.9
346.96,79.4
365.97,76.6
386.03,73.6
407.18,70.6
429.49,67.8
453.02,65.3
477.85,62.8
504.03,60.1
531.65,57.3
560.78,55
591.51,52.9
623.92,50.5
658.1,47.8
694.16,45.2
732.2,42.6
772.32,39.3
814.64,36
859.28,33.1
906.36,30.2
956.02,27.6
1008.41,25.4
1063.66,23.2
1121.95,21.1
1183.42,18.2
1248.27,15.3
1316.66,11.8
1388.81,9
1464.91,6.9
1545.18,5
1629.84,2.9
1719.15,-0.3
1813.35,-3.9
1912.71,-6.5
2017.52,-8.5
2128.06,-11.7
2244.67,-15.8
2367.66,-18.7
2497.4,-20.6
2634.24,-24.1
2778.58,-27.7
2930.83,-29.6
3091.43,-32.7
3260.82,-36.1
3439.49,-37.9
3627.96,-41.7
3826.75,-43.8
4036.43,-47
4257.6,-49.5
4490.9,-52.5
4736.97,-55
4996.53,-58.4
5270.31,-59.1
5559.09,-61.4
5863.7,-62.5
6185,-63.3
6523.9,-65.3
6881.37,-67
7258.43,-68.2
7656.15,-69.2
8075.66,-70.5
8518.16,-71.8
8984.91,-73.3
9477.23,-74.8
9996.53,-76.5
10544.28,-78.1
11122.05,-79.1
11731.47,-80.2
12374.29,-82.2
13052.33,-83
13767.52,-85
14521.9,-86
15317.62,-87.2
16156.94,-88.9
17042.24,-90.3
17976.06,-91.7
18961.04,-92.9
20000,-94.3
