# default s1 SPL
freq,value
35,74.6
36.92,76.9
38.94,79.2
41.07,81.5
43.33,83.8
45.7,86.1
48.2,88.3
50.84,90.4
53.63,92.4
56.57,94.3
59.67,95.9
62.94,97.2
66.39,98.3
70.02,99
73.86,99.5
77.91,99.8
82.18,100
86.68,100.1
91.43,100.2
96.44,100.2
101.72,100.2
107.3,100.1
113.18,100.1
119.38,100
125.92,99.9
132.82,99.8
140.1,99.6
147.77,99.4
155.87,99.2
164.41,99.1
173.42,98.5
182.92,97.8
192.95,96.9
203.52,96
214.67,94.9
226.43,93.8
238.84,92.5
251.93,91
265.73,89.4
280.29,87.4
295.65,85.1
311.85,82.7
328.94,80.3
346.96,78
365.97,75.9
386.03,73.9
407.18,71.6
429.49,69.1
453.02,66.5
477.85,64.2
504.03,61.9
531.65,59.3
560.78,56.2
591.51,53
623.92,50.1
658.1,47
694.16,43.6
732.2,40.5
772.32,38.1
814.64,35.5
859.28,33.2
906.36,32
956.02,29.4
1008.41,26.9
1063.66,23.6
1121.95,20.2
1183.42,17
1248.27,14.5
1316.66,12.6
1388.81,11
1464.91,8.6
1545.18,5.6
1629.84,2.1
1719.15,-0.3
1813.35,-1.8
1912.71,-4.2
2017.52,-8.4
2128.06,-12.5
2244.67,-14.8
2367.66,-17.2
2497.4,-21.4
2634.24,-24.7
2778.58,-26.2
2930.83,-29.8
3091.43,-33.4
3260.82,-34.8
3439.49,-38.8
3627.96,-41.1
3826.75,-43.8
4036.43,-47.1
4257.6,-49.2
4490.9,-52.8
4736.97,-55
4996.53,-58
5270.31,-60
5559.09,-60.4
5863.7,-62.8
6185,-64.1
6523.9,-64.8
6881.37,-66.2
7258.43,-68.2
7656.15,-69.9
8075.66,-71.2
8518.16,-72.6
8984.91,-74
9477.23,-75.4
9996.53,-76.5
10544.28,-77.4
11122.05,-78.8
11731.47,-80.9
12374.29,-81.6
13052.33,-83.5
13767.52,-84.4
14521.9,-86.4
15317.62,-87.6
16156.94,-88.6
17042.24,-89.9
17976.06,-91.4
18961.04,-93
20000,-94.7
