# default s1 SPL
freq,value
35,48.8
36.92,51.1
38.94,53.4
41.07,55.7
43.33,58
45.7,60.3
48.2,62.6
50.84,64.9
53.63,67.2
56.57,69.6
59.67,71.9
62.94,74.2
66.39,76.5
70.02,78.8
73.86,81.1
77.91,83.3
82.18,85.6
86.68,87.9
91.43,90.1
96.44,92.3
101.72,94.4
107.3,96.3
113.18,98.1
119.38,99.7
125.92,100.9
132.82,101.9
140.1,102.5
147.77,103
155.87,103.2
164.41,103.4
173.42,103.5
182.92,103.6
192.95,103.6
203.52,103.6
214.67,103.6
226.43,103.7
238.84,103.7
251.93,103.7
265.73,103.7
280.29,103.8
295.65,103.8
311.85,103.7
328.94,103.7
346.96,103.5
365.97,103.1
386.03,102.6
407.18,102.1
429.49,101.3
453.02,100.4
477.85,99.1
504.03,97.6
531.65,95.7
560.78,93.5
591.51,90.9
623.92,88.3
658.1,85.7
694.16,83.3
732.2,81
772.32,78.7
814.64,76.3
859.28,73.8
906.36,71.8
956.02,69.3
1008.41,66.5
1063.66,63.4
1121.95,60.3
1183.42,57.7
1248.27,55.7
1316.66,53.6
1388.81,51
1464.91,48.4
1545.18,45.6
1629.84,42.9
1719.15,41
1813.35,38.8
1912.71,35.5
2017.52,31.8
2128.06,28.5
2244.67,26
2367.66,22.6
2497.4,19
2634.24,16.2
2778.58,13.8
2930.83,10.1
3091.43,7.6
3260.82,5.1
3439.49,1.5
3627.96,-0.6
3826.75,-3.9
4036.43,-6.4
4257.6,-9.4
4490.9,-12
4736.97,-15.1
4996.53,-17.4
5270.31,-20.8
5559.09,-23
5863.7,-26
6185,-29.2
6523.9,-31.6
6881.37,-34.1
7258.43,-37
7656.15,-40.1
8075.66,-42.9
8518.16,-45.7
8984.91,-48.5
9477.23,-51.2
9996.53,-53.8
10544.28,-55.1
11122.05,-56.8
11731.47,-58.3
12374.29,-59.3
13052.33,-61.1
13767.52,-62.1
14521.9,-63.7
15317.62,-65.2
16156.94,-66.5
17042.24,-67.8
17976.06,-69.2
18961.04,-70.7
20000,-72.1
