# default rew SPL
freq,value
35,73.7
36.92,76.1
38.94,78.2
41.07,80.4
43.33,82.5
45.7,84.6
48.2,86.6
50.84,89.1
53.63,90.6
56.57,92.2
59.67,94
62.94,95.1
66.39,95.7
70.02,96.2
73.86,97
77.91,97.3
82.18,97.1
86.68,97.5
91.43,97.3
96.44,97.7
101.72,97.6
107.3,97.7
113.18,97.5
119.38,97.4
125.92,97.6
132.82,97.3
140.1,97
147.77,96.8
155.87,97.1
164.41,96.7
173.42,96.5
182.92,95.5
192.95,94.7
203.52,93.6
214.67,92.4
226.43,91.1
238.84,89.4
251.93,88
265.73,86
280.29,84.5
295.65,81.8
311.85,79.5
328.94,77.3
346.96,74.4
365.97,72
386.03,69.6
407.18,67.8
429.49,65.3
453.02,62.8
477.85,59.8
504.03,57.7
531.65,55.6
560.78,52.5
591.51,49.4
623.92,46.7
658.1,43.9
694.16,40.6
732.2,37.1
772.32,34.7
814.64,32
859.28,29
906.36,27.9
956.02,25.6
1008.41,23.2
1063.66,20.5
1121.95,17.3
1183.42,13.9
1248.27,11.4
1316.66,9.2
1388.81,7.6
1464.91,5.5
1545.18,2.5
1629.84,-0.3
1719.15,-2.9
1813.35,-4.9
1912.71,-7.3
2017.52,-10.9
2128.06,-15.5
2244.67,-18.4
2367.66,-20.5
2497.4,-24.6
2634.24,-27.9
2778.58,-29.8
2930.83,-33.5
3091.43,-37.1
3260.82,-38.3
3439.49,-42.4
3627.96,-45
3826.75,-47.4
4036.43,-51
4257.6,-53.1
4490.9,-56.4
4736.97,-58.5
4996.53,-61.3
5270.31,-62.7
5559.09,-63.9
5863.7,-66
6185,-67
6523.9,-67.6
6881.37,-69.4
7258.43,-71.1
7656.15,-72.8
8075.66,-74.1
8518.16,-75.3
8984.91,-77.2
9477.23,-78.3
9996.53,-79.9
10544.28,-80.6
11122.05,-82
11731.47,-84
12374.29,-84.7
13052.33,-86.5
13767.52,-87.9
14521.9,-89.2
15317.62,-90.5
16156.94,-91.7
17042.24,-92.9
17976.06,-94.8
18961.04,-96
20000,-97.7
