# default s1 power compression
freq,value
35,70.2
36.92,72.5
38.94,74.8
41.07,77
43.33,79.3
45.7,81.5
48.2,83.6
50.84,85.7
53.63,87.6
56.57,89.3
59.67,90.7
62.94,91.9
66.39,92.8
70.02,93.3
73.86,93.7
77.91,93.9
82.18,94.1
86.68,94.1
91.43,94.1
96.44,94.1
101.72,94.1
107.3,94.1
113.18,94
119.38,93.9
125.92,93.8
132.82,93.7
140.1,93.5
147.77,93.3
155.87,93.2
164.41,93
173.42,92.5
182.92,91.9
192.95,91
203.52,89.9
214.67,88.6
226.43,87.2
238.84,85.6
251.93,84
265.73,82.2
280.29,80.3
295.65,78.2
311.85,75.8
328.94,73.2
346.96,70.5
365.97,68.1
386.03,65.9
407.18,63.8
429.49,61.4
453.02,58.7
477.85,56.1
504.03,53.8
531.65,51.4
560.78,48.7
591.51,45.5
623.92,42.5
658.1,39.7
694.16,36.4
732.2,33.1
772.32,30.5
814.64,27.9
859.28,25.3
906.36,24.1
956.02,21.7
1008.41,19.3
1063.66,16.4
1121.95,13.1
1183.42,10
1248.27,7.2
1316.66,5.2
1388.81,3.5
1464.91,1.3
1545.18,-1.3
1629.84,-4.4
1719.15,-7.2
1813.35,-9
1912.71,-11.3
2017.52,-15.1
2128.06,-19.3
2244.67,-22.2
2367.66,-24.6
2497.4,-28.5
2634.24,-32
2778.58,-34
2930.83,-37.3
3091.43,-40.9
3260.82,-42.5
3439.49,-46.3
3627.96,-48.8
3826.75,-51.4
4036.43,-54.9
4257.6,-56.8
4490.9,-60.4
4736.97,-62.5
4996.53,-65.4
5270.31,-66.9
5559.09,-67.6
5863.7,-69.8
6185,-71
6523.9,-71.9
6881.37,-73.5
7258.43,-75.3
7656.15,-76.9
8075.66,-78.2
8518.16,-79.6
8984.91,-81
9477.23,-82.4
9996.53,-83.7
10544.28,-84.6
11122.05,-85.9
11731.47,-87.9
12374.29,-88.8
13052.33,-90.5
13767.52,-91.6
14521.9,-93.4
15317.62,-94.5
16156.94,-95.7
17042.24,-97.1
17976.06,-98.5
18961.04,-100
20000,-101.7
