# default s1 SPL
freq,value
35,70.8
36.92,73.1
38.94,75.5
41.07,77.8
43.33,80.2
45.7,82.5
48.2,84.8
50.84,87.1
53.63,89.4
56.57,91.7
59.67,93.8
62.94,95.9
66.39,97.8
70.02,99.5
73.86,100.9
77.91,101.9
82.18,102.7
86.68,103.3
91.43,103.7
96.44,103.9
101.72,104.1
107.3,104.2
113.18,104.2
119.38,104.3
125.92,104.3
132.82,104.3
140.1,104.3
147.77,104.2
155.87,104.2
164.41,104.1
173.42,103.9
182.92,103.7
192.95,103.1
203.52,102.8
214.67,102.4
226.43,101.9
238.84,101.2
251.93,100.3
265.73,99
280.29,97.4
295.65,95.6
311.85,93.6
328.94,91.6
346.96,89.5
365.97,87.5
386.03,85.5
407.18,83.3
429.49,80.9
453.02,78.4
477.85,75.9
504.03,73.7
531.65,71.5
560.78,69
591.51,66.1
623.92,63.1
658.1,60.2
694.16,57.3
732.2,54
772.32,50.7
814.64,48.1
859.28,45.7
906.36,43.7
956.02,41.6
1008.41,39.5
1063.66,36.5
1121.95,33.6
1183.42,30.3
1248.27,27.2
1316.66,24.9
1388.81,22.9
1464.91,21.2
1545.18,18.5
1629.84,15.3
1719.15,12.3
1813.35,10
1912.71,8.1
2017.52,4.7
2128.06,0.4
2244.67,-2.7
2367.66,-4.7
2497.4,-8
2634.24,-11.9
2778.58,-14
2930.83,-16.6
3091.43,-20.6
3260.82,-22.4
3439.49,-25.7
3627.96,-28.8
3826.75,-30.7
4036.43,-34.7
4257.6,-36.3
4490.9,-40.2
4736.97,-42
4996.53,-45.5
5270.31,-48
5559.09,-50.5
5863.7,-54.1
6185,-55.3
6523.9,-56.3
6881.37,-58.2
7258.43,-59.9
7656.15,-61.3
8075.66,-62.6
8518.16,-63.9
8984.91,-65.4
9477.23,-66.8
9996.53,-68.3
10544.28,-69.3
11122.05,-70.3
11731.47,-72.3
12374.29,-73.5
13052.33,-74.8
13767.52,-76.2
14521.9,-77.9
15317.62,-78.9
16156.94,-80.2
17042.24,-81.6
17976.06,-83
18961.04,-84.4
20000,-86.2
