# default s1 SPL 4x
freq,value
35,94.2
36.92,96.5
38.94,98.7
41.07,100.9
43.33,103
45.7,105
48.2,106.9
50.84,108.5
53.63,109.9
56.57,110.9
59.67,111.7
62.94,112.2
66.39,112.5
70.02,112.6
73.86,112.7
77.91,112.7
82.18,112.7
86.68,112.6
91.43,112.5
96.44,112.4
101.72,112.3
107.3,112.2
113.18,112.1
119.38,111.9
125.92,111.7
132.82,111.4
140.1,111.3
147.77,110.7
155.87,110.1
164.41,109.3
173.42,108.5
182.92,107.5
192.95,106.5
203.52,105.3
214.67,103.8
226.43,102
238.84,99.8
251.93,97.4
265.73,94.7
280.29,92
295.65,89.4
311.85,86.9
328.94,84.4
346.96,81.7
365.97,78.8
386.03,76
407.18,73.5
429.49,71.3
453.02,68.9
477.85,66.2
504.03,63.5
531.65,61.2
560.78,58.6
591.51,55.4
623.92,52.3
658.1,49.4
694.16,46.1
732.2,43
772.32,41.2
814.64,38.6
859.28,36.5
906.36,34.2
956.02,31.5
1008.41,28.6
1063.66,25.2
1121.95,22.4
1183.42,20
1248.27,18.1
1316.66,16.3
1388.81,13.3
1464.91,10
1545.18,7.2
1629.84,4.8
1719.15,2.1
1813.35,-1.8
1912.71,-5.5
2017.52,-7.9
2128.06,-10.4
2244.67,-14.3
2367.66,-17.1
2497.4,-19
2634.24,-22.7
2778.58,-25.4
2930.83,-27.7
3091.43,-31.4
3260.82,-33.2
3439.49,-37
3627.96,-38.8
3826.75,-42.5
4036.43,-44.4
4257.6,-48.1
4490.9,-49.4
4736.97,-51.1
4996.53,-53
5270.31,-53.6
5559.09,-55
5863.7,-56.9
6185,-58.5
6523.9,-59.8
6881.37,-60.9
7258.43,-62.3
7656.15,-63.7
8075.66,-65.2
8518.16,-66.8
8984.91,-68
9477.23,-68.9
9996.53,-70.7
10544.28,-72.1
11122.05,-73.3
11731.47,-74.8
12374.29,-76.4
13052.33,-77.4
13767.52,-78.7
14521.9,-80.1
15317.62,-81.5
16156.94,-83
17042.24,-84.7
17976.06,-85.9
18961.04,-87.4
20000,-88.5
