# alt-18s rew SPL
freq,value
35,74.4
36.92,76.5
38.94,78.6
41.07,81
43.33,83.6
45.7,85.7
48.2,87.8
50.84,89.8
53.63,91.9
56.57,94.4
59.67,96.2
62.94,97.7
66.39,100
70.02,101
73.86,102.4
77.91,103.5
82.18,104.1
86.68,104.5
91.43,105.2
96.44,105.1
101.72,105.4
107.3,105.5
113.18,106
119.38,106.1
125.92,106.1
132.82,106.3
140.1,106.4
147.77,106.2
155.87,106.2
164.41,106.7
173.42,106.3
182.92,106.4
192.95,107.1
203.52,106.6
214.67,106.2
226.43,106
238.84,105.4
251.93,104.4
265.73,103
280.29,102.3
295.65,100.4
311.85,99.3
328.94,97.2
346.96,94.9
365.97,92.3
386.03,89.3
407.18,86.5
429.49,83.6
453.02,80.8
477.85,78.8
504.03,76.2
531.65,73.3
560.78,71
591.51,68.8
623.92,66.8
658.1,64.4
694.16,61.3
732.2,58.3
772.32,55.3
814.64,52
859.28,48.9
906.36,46.5
956.02,44.7
1008.41,42.5
1063.66,40.3
1121.95,37
1183.42,34.1
1248.27,30.8
1316.66,28.7
1388.81,27.2
1464.91,25.1
1545.18,21.6
1629.84,17.3
1719.15,14.7
1813.35,13
1912.71,9.4
2017.52,4.9
2128.06,3.4
2244.67,1.1
2367.66,-3.3
2497.4,-5.9
2634.24,-7.7
2778.58,-11.9
2930.83,-13.8
3091.43,-16.6
3260.82,-19.9
3439.49,-22.2
3627.96,-25.7
3826.75,-27.5
4036.43,-31.2
4257.6,-33.9
4490.9,-36.4
4736.97,-39.7
4996.53,-41.7
5270.31,-44.7
5559.09,-48.3
5863.7,-50.9
6185,-51.6
6523.9,-53
6881.37,-54.3
7258.43,-55.9
7656.15,-57.3
8075.66,-58.9
8518.16,-60.2
8984.91,-61.9
9477.23,-63.7
9996.53,-64
10544.28,-66.4
11122.05,-67.3
11731.47,-68.9
12374.29,-69.9
13052.33,-71.5
13767.52,-73.3
14521.9,-74.8
15317.62,-75.8
16156.94,-77.2
17042.24,-78.3
17976.06,-80.2
18961.04,-81.3
20000,-82.8
