# default s2 SPL
freq,value
35,75.3
36.92,77.6
38.94,79.9
41.07,82.1
43.33,84.4
45.7,86.7
48.2,88.9
50.84,91.2
53.63,93.3
56.57,95.4
59.67,97.4
62.94,99.2
66.39,100.8
70.02,102.1
73.86,103.1
77.91,103.8
82.18,104.2
86.68,104.5
91.43,104.7
96.44,104.8
101.72,104.8
107.3,104.8
113.18,104.8
119.38,104.8
125.92,104.8
132.82,104.8
140.1,104.8
147.77,104.7
155.87,104.7
164.41,104.6
173.42,104.5
182.92,104.6
192.95,104.3
203.52,103.8
214.67,103.3
226.43,102.6
238.84,101.8
251.93,100.9
265.73,99.8
280.29,98.7
295.65,97.2
311.85,95.5
328.94,93.4
346.96,90.9
365.97,88.3
386.03,85.7
407.18,83.2
429.49,80.6
453.02,77.9
477.85,74.8
504.03,71.7
531.65,68.9
560.78,66.4
591.51,64.1
623.92,61.5
658.1,58.9
694.16,56.6
732.2,54.2
772.32,51.5
814.64,48.4
859.28,45.5
906.36,42.4
956.02,39.6
1008.41,37.6
1063.66,35.2
1121.95,33
1183.42,30.1
1248.27,26.9
1316.66,24.2
1388.81,21.9
1464.91,20
1545.18,17.3
1629.84,13.5
1719.15,10.2
1813.35,7.7
1912.71,5
2017.52,1.4
2128.06,-1.8
2244.67,-3.9
2367.66,-7.1
2497.4,-10.6
2634.24,-12.6
2778.58,-15.8
2930.83,-18.8
3091.43,-20.8
3260.82,-24.5
3439.49,-26.5
3627.96,-30.1
3826.75,-32
4036.43,-35.7
4257.6,-37.7
4490.9,-41.1
4736.97,-43.8
4996.53,-46.1
5270.31,-49.4
5559.09,-52.3
5863.7,-53.4
6185,-54.6
6523.9,-56.1
6881.37,-57.6
7258.43,-59.1
7656.15,-60.5
8075.66,-61.7
8518.16,-63
8984.91,-64.6
9477.23,-66.4
9996.53,-67.4
10544.28,-68.8
11122.05,-70.3
11731.47,-71.7
12374.29,-72.8
13052.33,-74.5
13767.52,-76
14521.9,-77.4
15317.62,-78.8
16156.94,-80.1
17042.24,-81.2
17976.06,-82.8
18961.04,-84.1
20000,-85.7
