# default s1 SPL
freq,value
35,76.9
36.92,79.2
38.94,81.5
41.07,83.9
43.33,86.2
45.7,88.5
48.2,90.8
50.84,93.1
53.63,95.3
56.57,97.5
59.67,99.6
62.94,101.5
66.39,103.2
70.02,104.6
73.86,105.7
77.91,106.5
82.18,107.1
86.68,107.5
91.43,107.8
96.44,108
101.72,108.2
107.3,108.3
113.18,108.4
119.38,108.5
125.92,108.6
132.82,108.7
140.1,108.7
147.77,108.8
155.87,108.8
164.41,108.8
173.42,108.7
182.92,108.6
192.95,108.5
203.52,108.2
214.67,107.8
226.43,107.1
238.84,106.1
251.93,104.8
265.73,103.2
280.29,101.4
295.65,99.5
311.85,97.6
328.94,95.5
346.96,93.3
365.97,90.9
386.03,88.3
407.18,85.5
429.49,82.9
453.02,80.6
477.85,78.4
504.03,76.1
531.65,73.5
560.78,70.8
591.51,68.2
623.92,65.7
658.1,62.7
694.16,59.3
732.2,56.2
772.32,53.9
814.64,51.2
859.28,48.6
906.36,46.6
956.02,44.2
1008.41,41.4
1063.66,38.6
1121.95,35.2
1183.42,32.5
1248.27,30.3
1316.66,28.4
1388.81,26
1464.91,22.9
1545.18,19.4
1629.84,16.9
1719.15,14.4
1813.35,11.3
1912.71,7.5
2017.52,4.6
2128.06,2.4
2244.67,-1
2367.66,-4.3
2497.4,-6.2
2634.24,-9.4
2778.58,-12.6
2930.83,-14.6
3091.43,-18.4
3260.82,-20.5
3439.49,-23.7
3627.96,-26.1
3826.75,-29.3
4036.43,-31.6
4257.6,-35.1
4490.9,-37
4736.97,-40.4
4996.53,-43.2
5270.31,-45.4
5559.09,-48.5
5863.7,-50.7
6185,-52.1
6523.9,-53.2
6881.37,-54.4
7258.43,-55.8
7656.15,-57.2
8075.66,-58.8
8518.16,-60.4
8984.91,-61.8
9477.23,-62.8
9996.53,-64.2
10544.28,-65.9
11122.05,-66.9
11731.47,-68.7
12374.29,-69.9
13052.33,-71.1
13767.52,-72.5
14521.9,-74
15317.62,-75.3
16156.94,-76.6
17042.24,-78.3
17976.06,-79.7
18961.04,-81
20000,-82.3
