# default s1 SPL
freq,value
35,44.8
36.92,47.1
38.94,49.4
41.07,51.7
43.33,54
45.7,56.3
48.2,58.6
50.84,61
53.63,63.3
56.57,65.6
59.67,67.9
62.94,70.2
66.39,72.6
70.02,74.9
73.86,77.2
77.91,79.5
82.18,81.8
86.68,84.1
91.43,86.3
96.44,88.5
101.72,90.7
107.3,92.7
113.18,94.5
119.38,96
125.92,97.3
132.82,98.3
140.1,99
147.77,99.5
155.87,99.9
164.41,100.1
173.42,100.3
182.92,100.4
192.95,100.5
203.52,100.6
214.67,100.7
226.43,100.8
238.84,100.9
251.93,101
265.73,101
280.29,101.1
295.65,101
311.85,101.1
328.94,100.8
346.96,100.5
365.97,100
386.03,99.4
407.18,98.7
429.49,97.9
453.02,96.8
477.85,95.5
504.03,94
531.65,92
560.78,89.8
591.51,87.4
623.92,84.8
658.1,82.3
694.16,79.8
732.2,77.4
772.32,74.9
814.64,72.3
859.28,69.7
906.36,67.2
956.02,64.9
1008.41,62.6
1063.66,59.8
1121.95,56.9
1183.42,53.9
1248.27,51
1316.66,47.9
1388.81,45.3
1464.91,42.8
1545.18,40.5
1629.84,38
1719.15,35.7
1813.35,32.9
1912.71,29.7
2017.52,26.8
2128.06,24.1
2244.67,22.2
2367.66,19.9
2497.4,17.4
2634.24,14.1
2778.58,11.4
2930.83,9
3091.43,6.2
3260.82,2.6
3439.49,-0.8
3627.96,-3.3
3826.75,-6.2
4036.43,-9.7
4257.6,-12.1
4490.9,-14.9
4736.97,-18.3
4996.53,-20.5
5270.31,-23.7
5559.09,-26.4
5863.7,-29.2
6185,-32.1
6523.9,-34.7
6881.37,-37.6
7258.43,-40.5
7656.15,-43
8075.66,-46.3
8518.16,-48.7
8984.91,-51.3
9477.23,-54.5
9996.53,-57.3
10544.28,-58.4
11122.05,-59.7
11731.47,-61
12374.29,-62.4
13052.33,-63.8
13767.52,-65.2
14521.9,-66.8
15317.62,-68.4
16156.94,-69.6
17042.24,-70.8
17976.06,-72.5
18961.04,-73.6
20000,-75.3
