# default s1 SPL 4x
freq,value
35,78.9
36.92,81.1
38.94,83.4
41.07,85.7
43.33,87.9
45.7,90.1
48.2,92.3
50.84,94.4
53.63,96.4
56.57,98.2
59.67,99.8
62.94,101.1
66.39,102.1
70.02,102.8
73.86,103.2
77.91,103.5
82.18,103.6
86.68,103.7
91.43,103.7
96.44,103.6
101.72,103.5
107.3,103.4
113.18,103.3
119.38,103.2
125.92,103.1
132.82,102.9
140.1,102.7
147.77,102.5
155.87,102.2
164.41,102.2
173.42,101.9
182.92,101.3
192.95,100.6
203.52,99.6
214.67,98.5
226.43,97.2
238.84,95.7
251.93,94.2
265.73,92.5
280.29,90.6
295.65,88.5
311.85,86.1
328.94,83.3
346.96,80.5
365.97,77.6
386.03,74.9
407.18,72.3
429.49,69.6
453.02,66.5
477.85,63.4
504.03,60.5
531.65,58
560.78,55.3
591.51,52.4
623.92,49.7
658.1,47.4
694.16,45.1
732.2,42.4
772.32,40.1
814.64,37.8
859.28,35
906.36,32.4
956.02,29.6
1008.41,26.2
1063.66,23.3
1121.95,19.8
1183.42,16.9
1248.27,13.9
1316.66,11.7
1388.81,9.7
1464.91,7.8
1545.18,5.3
1629.84,2.3
1719.15,-0.9
1813.35,-4.2
1912.71,-7.2
2017.52,-9.3
2128.06,-11.1
2244.67,-13.3
2367.66,-16.5
2497.4,-19.8
2634.24,-22.2
2778.58,-24
2930.83,-26.6
3091.43,-30.5
3260.82,-34.1
3439.49,-36.2
3627.96,-39.1
3826.75,-43.2
4036.43,-45.6
4257.6,-47.8
4490.9,-51.8
4736.97,-54
4996.53,-56.7
5270.31,-59.3
5559.09,-59.7
5863.7,-62.2
6185,-62.6
6523.9,-65
6881.37,-65.4
7258.43,-67.7
7656.15,-68.5
8075.66,-69.9
8518.16,-72
8984.91,-72.7
9477.23,-73.9
9996.53,-75.8
10544.28,-77.5
11122.05,-78.7
11731.47,-80
12374.29,-81.3
13052.33,-82.7
13767.52,-84.2
14521.9,-85.7
15317.62,-86.9
16156.94,-87.9
17042.24,-89.7
17976.06,-91
18961.04,-92.3
20000,-93.8
