# default s1 SPL 2x
freq,value
35,69.4
36.92,71.7
38.94,74
41.07,76.4
43.33,78.7
45.7,81
48.2,83.3
50.84,85.5
53.63,87.8
56.57,90
59.67,92.1
62.94,94.1
66.39,96
70.02,97.6
73.86,98.9
77.91,100
82.18,100.7
86.68,101.2
91.43,101.5
96.44,101.7
101.72,101.8
107.3,101.9
113.18,101.9
119.38,101.9
125.92,101.9
132.82,101.9
140.1,101.9
147.77,101.8
155.87,101.8
164.41,101.6
173.42,101.5
182.92,101.3
192.95,100.8
203.52,100.5
214.67,100.2
226.43,99.8
238.84,99.1
251.93,98.1
265.73,96.9
280.29,95.3
295.65,93.4
311.85,91.4
328.94,89.2
346.96,87
365.97,84.8
386.03,82.4
407.18,79.8
429.49,77
453.02,74.1
477.85,71.3
504.03,68.8
531.65,66.4
560.78,63.9
591.51,61.2
623.92,58.6
658.1,56.4
694.16,54.1
732.2,51.4
772.32,48.5
814.64,45.9
859.28,43
906.36,39.5
956.02,36.5
1008.41,33.6
1063.66,30.5
1121.95,28.3
1183.42,26.3
1248.27,24.1
1316.66,21.7
1388.81,18.7
1464.91,15.6
1545.18,12.3
1629.84,9.5
1719.15,7.5
1813.35,5.5
1912.71,3.2
2017.52,0.1
2128.06,-3.3
2244.67,-5.7
2367.66,-7.7
2497.4,-10.6
2634.24,-14.6
2778.58,-17.7
2930.83,-19.9
3091.43,-23.1
3260.82,-26.9
3439.49,-29.1
3627.96,-31.7
3826.75,-35.4
4036.43,-37.4
4257.6,-40.5
4490.9,-43.6
4736.97,-45.8
4996.53,-49.3
5270.31,-51.3
5559.09,-54.9
5863.7,-57
6185,-59
6523.9,-60.6
6881.37,-61.4
7258.43,-63.4
7656.15,-64.8
8075.66,-65.7
8518.16,-67.1
8984.91,-68.8
9477.23,-70.4
9996.53,-71.9
10544.28,-73.3
11122.05,-74.6
11731.47,-75.9
12374.29,-77
13052.33,-78.2
13767.52,-80
14521.9,-81.4
15317.62,-82.5
16156.94,-84.2
17042.24,-85.4
17976.06,-86.7
18961.04,-88.3
20000,-89.8
