# alt-18s hr SPL
freq,value
35,85.7
36.92,86.1
38.94,86.6
41.07,87
43.33,87.4
45.7,87.9
48.2,88.3
50.84,88.8
53.63,89.2
56.57,89.6
59.67,90
62.94,90.5
66.39,90.9
70.02,91.3
73.86,91.7
77.91,92.2
82.18,92.6
86.68,93
91.43,93.4
96.44,93.8
101.72,94.2
107.3,94.6
113.18,95
119.38,95.4
125.92,95.9
132.82,96.3
140.1,96.7
147.77,97.1
155.87,97.5
164.41,97.9
173.42,98.3
182.92,98.7
192.95,99.1
203.52,99.5
214.67,99.9
226.43,100.3
238.84,100.6
251.93,101
265.73,101.3
280.29,101.7
295.65,101.9
311.85,102.2
328.94,102.4
346.96,102.6
365.97,102.7
386.03,102.8
407.18,102.8
429.49,102.7
453.02,102.7
477.85,102.6
504.03,102.6
531.65,102.6
560.78,102.7
591.51,102.9
623.92,103.2
658.1,103.6
694.16,103.9
732.2,104.2
772.32,104.4
814.64,104.4
859.28,104.2
906.36,104.5
956.02,104.3
1008.41,104.3
1063.66,104.5
1121.95,105.1
1183.42,105.6
1248.27,105.9
1316.66,105.8
1388.81,105.6
1464.91,105.6
1545.18,106.2
1629.84,107
1719.15,107.4
1813.35,106.8
1912.71,106
2017.52,105.7
2128.06,105.5
2244.67,104.4
2367.66,102.9
2497.4,102.4
2634.24,101.9
2778.58,100.2
2930.83,99.3
3091.43,98.8
3260.82,96.8
3439.49,96.1
3627.96,94.8
3826.75,93.2
4036.43,92.4
4257.6,90.4
4490.9,89.7
4736.97,87.8
4996.53,86.7
5270.31,85.4
5559.09,83.6
5863.7,82.8
6185,81.2
6523.9,79.4
6881.37,78.2
7258.43,77.1
7656.15,75.8
8075.66,74.4
8518.16,73
8984.91,71.6
9477.23,70.2
9996.53,68.8
10544.28,67.1
11122.05,65.6
11731.47,64.6
12374.29,63
13052.33,61.7
13767.52,60.1
14521.9,59.1
15317.62,57.5
16156.94,55.9
17042.24,54.5
17976.06,53.1
18961.04,51.9
20000,50.7
