# default rew SPL
freq,value
35,90.6
36.92,91.2
38.94,91.3
41.07,92
43.33,92.1
45.7,92.4
48.2,92.4
50.84,93.1
53.63,93.2
56.57,93.7
59.67,93.5
62.94,93.6
66.39,93.7
70.02,94.2
73.86,94.2
77.91,94.6
82.18,94.4
86.68,94.5
91.43,95
96.44,94.9
101.72,95.3
107.3,95.5
113.18,95.6
119.38,95.9
125.92,95.9
132.82,96.1
140.1,96.5
147.77,96.9
155.87,97.1
164.41,97.3
173.42,97.3
182.92,97.2
192.95,97.5
203.52,97.9
214.67,98.2
226.43,98.3
238.84,98.2
251.93,98.9
265.73,99
280.29,99.3
295.65,99.3
311.85,99.7
328.94,99.9
346.96,99.6
365.97,99.9
386.03,99.9
407.18,99.8
429.49,99.7
453.02,99.7
477.85,99.6
504.03,99.6
531.65,99.4
560.78,99.2
591.51,99.1
623.92,99.6
658.1,99.6
694.16,99.8
732.2,100.6
772.32,100.8
814.64,100.7
859.28,101
906.36,100.7
956.02,100.8
1008.41,100.3
1063.66,100.1
1121.95,100.7
1183.42,101.6
1248.27,101.9
1316.66,101.5
1388.81,101.2
1464.91,101
1545.18,101.4
1629.84,102.4
1719.15,103
1813.35,102.3
1912.71,101.2
2017.52,101.1
2128.06,101.2
2244.67,99.9
2367.66,98.9
2497.4,98.2
2634.24,98.1
2778.58,96.3
2930.83,95.1
3091.43,94.9
3260.82,93.2
3439.49,92
3627.96,90.8
3826.75,89.1
4036.43,88.3
4257.6,86.1
4490.9,86
4736.97,83.8
4996.53,82.6
5270.31,81.5
5559.09,79.6
5863.7,79.1
6185,77
6523.9,75.7
6881.37,74.4
7258.43,73
7656.15,71.7
8075.66,70.6
8518.16,69.1
8984.91,67.6
9477.23,66.2
9996.53,64.7
10544.28,63.5
11122.05,61.7
11731.47,60.6
12374.29,59
13052.33,57.5
13767.52,56.3
14521.9,54.8
15317.62,53.6
16156.94,52.1
17042.24,50.6
17976.06,49.3
18961.04,48
20000,46.8
