# default s1 SPL
freq,value
35,89.3
36.92,89.6
38.94,90
41.07,90.4
43.33,90.8
45.7,91.1
48.2,91.5
50.84,91.8
53.63,92.2
56.57,92.5
59.67,92.8
62.94,93.1
66.39,93.4
70.02,93.7
73.86,93.9
77.91,94.2
82.18,94.5
86.68,94.7
91.43,94.9
96.44,95.1
101.72,95.4
107.3,95.6
113.18,95.8
119.38,95.9
125.92,96.1
132.82,96.3
140.1,96.5
147.77,96.7
155.87,96.9
164.41,97
173.42,97.2
182.92,97.4
192.95,97.6
203.52,97.8
214.67,98.1
226.43,98.3
238.84,98.5
251.93,98.7
265.73,98.9
280.29,99.2
295.65,99.4
311.85,99.6
328.94,99.7
346.96,99.8
365.97,99.9
386.03,100
407.18,99.9
429.49,99.9
453.02,99.8
477.85,99.6
504.03,99.5
531.65,99.4
560.78,99.3
591.51,99.3
623.92,99.5
658.1,99.7
694.16,100
732.2,100.4
772.32,100.6
814.64,100.8
859.28,100.7
906.36,100.9
956.02,100.5
1008.41,100.3
1063.66,100.4
1121.95,100.8
1183.42,101.3
1248.27,101.7
1316.66,101.8
1388.81,101.5
1464.91,101.3
1545.18,101.5
1629.84,102.3
1719.15,102.8
1813.35,102.4
1912.71,101.5
2017.52,101
2128.06,101
2244.67,100.2
2367.66,98.7
2497.4,98.1
2634.24,97.8
2778.58,96.3
2930.83,95.1
3091.43,94.7
3260.82,92.9
3439.49,91.9
3627.96,90.9
3826.75,89
4036.43,88.4
4257.6,86.3
4490.9,85.7
4736.97,83.7
4996.53,82.9
5270.31,81.2
5559.09,79.7
5863.7,78.8
6185,77.1
6523.9,75.4
6881.37,74.3
7258.43,73.2
7656.15,71.8
8075.66,70.3
8518.16,68.9
8984.91,67.5
9477.23,66.2
9996.53,64.8
10544.28,63.2
11122.05,61.6
11731.47,60.6
12374.29,59.1
13052.33,57.6
13767.52,56.2
14521.9,55
15317.62,53.4
16156.94,51.9
17042.24,50.6
17976.06,49.2
18961.04,47.8
20000,46.6
