# default s1 phase
freq,value
35,23.2
36.92,24.4
38.94,25.8
41.07,27.1
43.33,28.6
45.7,30.2
48.2,31.8
50.84,32.2
53.63,32.1
56.57,32.1
59.67,32.1
62.94,32
66.39,32
70.02,31.9
73.86,31.8
77.91,31.6
82.18,31.2
86.68,30.9
91.43,30.6
96.44,30.2
101.72,29.7
107.3,29.2
113.18,28.6
119.38,28
125.92,27.6
132.82,27.5
140.1,27.4
147.77,27.2
155.87,27
164.41,26.7
173.42,26.6
182.92,26.7
192.95,26.9
203.52,26.9
214.67,26.8
226.43,26.9
238.84,27.1
251.93,27
265.73,26.6
280.29,26.3
295.65,26
311.85,25
328.94,24
346.96,22.7
365.97,21
386.03,19.3
407.18,17.1
429.49,15.1
453.02,13.1
477.85,11.4
504.03,10.1
531.65,9.5
560.78,9.5
591.51,10.5
623.92,11.8
658.1,13.4
694.16,14.9
732.2,15.7
772.32,15
814.64,13
859.28,10
906.36,6.8
956.02,4.6
1008.41,4.3
1063.66,6.2
1121.95,9.1
1183.42,11.1
1248.27,10.4
1316.66,6.9
1388.81,3.1
1464.91,2.3
1545.18,5.2
1629.84,8.4
1719.15,7.7
1813.35,3.4
1912.71,1.4
2017.52,4.6
2128.06,7
2244.67,3.7
2367.66,1
2497.4,4.4
2634.24,5
2778.58,1.3
2930.83,3
3091.43,4.1
3260.82,1.3
3439.49,3.2
3627.96,2.3
3826.75,2
4036.43,2.3
4257.6,1.9
4490.9,1.8
4736.97,1.9
4996.53,1.9
5270.31,0.8
5559.09,2.9
5863.7,0.7
6185,0.2
6523.9,2.9
6881.37,3
7258.43,0.9
7656.15,-0.4
8075.66,-0.3
8518.16,0.4
8984.91,1.1
9477.23,1.3
9996.53,0.3
10544.28,-1.4
11122.05,-0.9
11731.47,0.7
12374.29,0.1
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
