# default s1 phase
freq,value
35,29.9
36.92,31.6
38.94,33.3
41.07,35.2
43.33,37.1
45.7,39.2
48.2,41.3
50.84,42.1
53.63,42.4
56.57,42.8
59.67,43.1
62.94,43.5
66.39,43.9
70.02,44.3
73.86,44.6
77.91,44.5
82.18,44.3
86.68,44.2
91.43,44
96.44,43.8
101.72,43.3
107.3,42.6
113.18,42
119.38,41.3
125.92,40.7
132.82,40.2
140.1,39.8
147.77,39.2
155.87,38.4
164.41,37.5
173.42,36.6
182.92,36
192.95,35.3
203.52,34.3
214.67,33
226.43,31.9
238.84,30.7
251.93,29.1
265.73,27.2
280.29,25.3
295.65,23.3
311.85,20.6
328.94,18.1
346.96,15.4
365.97,12.4
386.03,9.8
407.18,7.2
429.49,5.1
453.02,3.3
477.85,2.1
504.03,1.4
531.65,1.1
560.78,0.9
591.51,0.6
623.92,-0.5
658.1,-2.5
694.16,-5.3
732.2,-8.1
772.32,-12.2
814.64,-16.8
859.28,-19.3
906.36,-20.2
956.02,-20.4
1008.41,-21.8
1063.66,-25.4
1121.95,-31.3
1183.42,-37.6
1248.27,-42.1
1316.66,-44.5
1388.81,-48.2
1464.91,-56.2
1545.18,-67.5
1629.84,-76.5
1719.15,-81.1
1813.35,-86.2
1912.71,-95.1
2017.52,-102.5
2128.06,-105.3
2244.67,-110.6
2367.66,-118.6
2497.4,-121.6
2634.24,-125.6
2778.58,-131.5
2930.83,-133.3
3091.43,-137.2
3260.82,-139.5
3439.49,-141.4
3627.96,-143
3826.75,-143.9
4036.43,-144.5
4257.6,-144.2
4490.9,-144.9
4736.97,-142.2
4996.53,-142.1
5270.31,-141.4
5559.09,-137
5863.7,-133.3
6185,-131.3
6523.9,-128.8
6881.37,-124.7
7258.43,-119.5
7656.15,-113.6
8075.66,-107.5
8518.16,-101.5
8984.91,-94.3
9477.23,-84
9996.53,-73
10544.28,-61.8
11122.05,-47.6
11731.47,-29.8
12374.29,-6.8
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
