# default s1 SPL
freq,value
35,86.8
36.92,87.3
38.94,87.7
41.07,88.1
43.33,88.5
45.7,88.9
48.2,89.3
50.84,89.7
53.63,90.1
56.57,90.5
59.67,90.9
62.94,91.3
66.39,91.6
70.02,92
73.86,92.4
77.91,92.7
82.18,93.1
86.68,93.4
91.43,93.7
96.44,94
101.72,94.4
107.3,94.7
113.18,95
119.38,95.3
125.92,95.5
132.82,95.8
140.1,96.1
147.77,96.4
155.87,96.7
164.41,97
173.42,97.2
182.92,97.5
192.95,97.8
203.52,98.1
214.67,98.4
226.43,98.8
238.84,99.1
251.93,99.4
265.73,99.7
280.29,100
295.65,100.3
311.85,100.5
328.94,100.7
346.96,100.9
365.97,100.9
386.03,101
407.18,100.9
429.49,100.8
453.02,100.7
477.85,100.6
504.03,100.5
531.65,100.5
560.78,100.6
591.51,100.9
623.92,101.2
658.1,101.5
694.16,101.8
732.2,102
772.32,102.4
814.64,102.1
859.28,101.9
906.36,101.7
956.02,101.8
1008.41,102.3
1063.66,102.9
1121.95,103.2
1183.42,103.1
1248.27,102.8
1316.66,102.8
1388.81,103.3
1464.91,103.9
1545.18,103.7
1629.84,102.7
1719.15,101.9
1813.35,101.7
1912.71,101.3
2017.52,99.9
2128.06,98.9
2244.67,98.7
2367.66,97.5
2497.4,95.9
2634.24,95.5
2778.58,94
2930.83,92.5
3091.43,91.9
3260.82,89.8
3439.49,89.3
3627.96,87.2
3826.75,86.5
4036.43,84.5
4257.6,83.8
4490.9,81.9
4736.97,80.6
4996.53,79.6
5270.31,77.8
5559.09,76.3
5863.7,75.3
6185,74.1
6523.9,72.6
6881.37,71.1
7258.43,69.6
7656.15,68.3
8075.66,67
8518.16,65.7
8984.91,64.1
9477.23,62.4
9996.53,61.3
10544.28,59.9
11122.05,58.4
11731.47,57
12374.29,55.9
13052.33,54.2
13767.52,52.7
14521.9,51.3
15317.62,49.9
16156.94,48.6
17042.24,47.5
17976.06,45.9
18961.04,44.7
20000,43
