# default s2 SPL
freq,value
35,85.2
36.92,85.6
38.94,86.1
41.07,86.6
43.33,87
45.7,87.5
48.2,87.9
50.84,88.4
53.63,88.9
56.57,89.3
59.67,89.8
62.94,90.2
66.39,90.7
70.02,91.1
73.86,91.5
77.91,91.9
82.18,92.4
86.68,92.8
91.43,93.2
96.44,93.5
101.72,93.9
107.3,94.3
113.18,94.6
119.38,94.9
125.92,95.3
132.82,95.5
140.1,95.8
147.77,96
155.87,96.3
164.41,96.4
173.42,96.6
182.92,96.7
192.95,96.8
203.52,96.9
214.67,96.9
226.43,96.9
238.84,96.9
251.93,96.9
265.73,96.9
280.29,96.9
295.65,97
311.85,97.1
328.94,97.2
346.96,97.4
365.97,97.7
386.03,98
407.18,98.4
429.49,98.9
453.02,99.3
477.85,99.6
504.03,99.8
531.65,99.9
560.78,99.8
591.51,99.5
623.92,99.1
658.1,98.7
694.16,98.5
732.2,98.6
772.32,98.9
814.64,99.5
859.28,100.1
906.36,100.4
956.02,100.1
1008.41,99.5
1063.66,98.9
1121.95,98.8
1183.42,99.5
1248.27,100.2
1316.66,100.4
1388.81,99.7
1464.91,99
1545.18,99.2
1629.84,100.2
1719.15,100.3
1813.35,99.3
1912.71,99.1
2017.52,100.2
2128.06,100.2
2244.67,99.1
2367.66,99.8
2497.4,100.3
2634.24,99.1
2778.58,100
2930.83,99.9
3091.43,99.3
3260.82,100.4
3439.49,99.2
3627.96,100.4
3826.75,99.2
4036.43,100.3
4257.6,99.4
4490.9,99.9
4736.97,100.1
4996.53,99.3
5270.31,99.9
5559.09,100.3
5863.7,99.8
6185,99.4
6523.9,99.4
6881.37,99.5
7258.43,99.6
7656.15,99.5
8075.66,99.4
8518.16,99.4
8984.91,99.8
9477.23,100.2
9996.53,99.5
10544.28,99.8
11122.05,99.7
11731.47,99.9
12374.29,99.4
13052.33,99.7
13767.52,99.9
14521.9,99.8
15317.62,99.6
16156.94,99.1
17042.24,98.5
17976.06,98.4
18961.04,97.4
20000,97
