# default s1 SPL
freq,value
35,89.3
36.92,89.7
38.94,90
41.07,90.4
43.33,90.7
45.7,91.1
48.2,91.4
50.84,91.7
53.63,92
56.57,92.3
59.67,92.6
62.94,92.9
66.39,93.1
70.02,93.4
73.86,93.6
77.91,93.8
82.18,94
86.68,94.2
91.43,94.4
96.44,94.6
101.72,94.7
107.3,94.9
113.18,95
119.38,95.1
125.92,95.2
132.82,95.3
140.1,95.4
147.77,95.5
155.87,95.6
164.41,95.7
173.42,95.8
182.92,95.9
192.95,96
203.52,96.1
214.67,96.2
226.43,96.4
238.84,96.5
251.93,96.7
265.73,96.9
280.29,97.1
295.65,97.4
311.85,97.6
328.94,97.9
346.96,98.1
365.97,98.3
386.03,98.4
407.18,98.5
429.49,98.5
453.02,98.4
477.85,98.3
504.03,98.1
531.65,97.9
560.78,97.8
591.51,97.8
623.92,97.9
658.1,98.1
694.16,98.5
732.2,98.8
772.32,99
814.64,99
859.28,98.8
906.36,98.4
956.02,98.1
1008.41,98.2
1063.66,98.5
1121.95,99
1183.42,99.2
1248.27,98.9
1316.66,98.4
1388.81,98.2
1464.91,98.7
1545.18,99.2
1629.84,99
1719.15,98.4
1813.35,98.4
1912.71,99.1
2017.52,99
2128.06,98.3
2244.67,98.8
2367.66,99.2
2497.4,98.4
2634.24,98.8
2778.58,99.1
2930.83,98.4
3091.43,99.1
3260.82,98.5
3439.49,98.9
3627.96,98.7
3826.75,98.9
4036.43,98.6
4257.6,99.1
4490.9,98.4
4736.97,99
4996.53,98.9
5270.31,98.5
5559.09,98.8
5863.7,99.1
6185,99
6523.9,98.8
6881.37,98.7
7258.43,98.6
7656.15,98.6
8075.66,98.8
8518.16,99
8984.91,99
9477.23,98.6
9996.53,98.7
10544.28,98.9
11122.05,98.5
11731.47,98.8
12374.29,98.6
13052.33,98.3
13767.52,98.2
14521.9,98
15317.62,97.6
16156.94,97.1
17042.24,96.7
17976.06,95.9
18961.04,94.8
20000,93.5
