# default rew SPL
freq,value
35,87.9
36.92,88.1
38.94,88.8
41.07,88.8
43.33,89.4
45.7,89.7
48.2,90.1
50.84,90.3
53.63,90.9
56.57,91.3
59.67,91.3
62.94,91.9
66.39,92.3
70.02,92.2
73.86,92.8
77.91,93.1
82.18,93
86.68,93.7
91.43,93.5
96.44,93.9
101.72,94.3
107.3,94.7
113.18,95
119.38,94.7
125.92,95.2
132.82,95
140.1,95.3
147.77,95.7
155.87,95.7
164.41,96.2
173.42,96.5
182.92,96.4
192.95,96.9
203.52,97.4
214.67,97.5
226.43,97.5
238.84,98.1
251.93,98.2
265.73,98.6
280.29,99.2
295.65,99
311.85,99.5
328.94,100
346.96,100.2
365.97,100.6
386.03,100.9
407.18,100.7
429.49,101.3
453.02,101.2
477.85,101.7
504.03,101.4
531.65,101.4
560.78,101.2
591.51,101
623.92,101.2
658.1,100.9
694.16,100.5
732.2,100.6
772.32,100.5
814.64,100.2
859.28,100.7
906.36,100.6
956.02,101.6
1008.41,101.7
1063.66,102.3
1121.95,102.4
1183.42,102.7
1248.27,102.2
1316.66,101.7
1388.81,101.2
1464.91,100.6
1545.18,101.1
1629.84,102
1719.15,102.4
1813.35,102.5
1912.71,102.1
2017.52,101.2
2128.06,101
2244.67,101.6
2367.66,102.4
2497.4,102.6
2634.24,102
2778.58,101
2930.83,102.1
3091.43,102.8
3260.82,102
3439.49,101.1
3627.96,101.7
3826.75,102.5
4036.43,101.6
4257.6,101.8
4490.9,102.7
4736.97,101.4
4996.53,102.2
5270.31,101.8
5559.09,102
5863.7,102.5
6185,101.4
6523.9,102.2
6881.37,101.5
7258.43,102
7656.15,102.3
8075.66,101.3
8518.16,102.1
8984.91,102.2
9477.23,101.6
9996.53,101.5
10544.28,102.3
11122.05,102.1
11731.47,101.9
12374.29,102
13052.33,101.9
13767.52,101.5
14521.9,100.9
15317.62,100.3
16156.94,99.5
17042.24,99
17976.06,97.6
18961.04,96.9
20000,95.4
