# default s1 phase
freq,value
35,31.8
36.92,33.6
38.94,35.4
41.07,37.4
43.33,39.5
45.7,41.7
48.2,44
50.84,44.9
53.63,45.4
56.57,45.9
59.67,46.4
62.94,46.9
66.39,47.5
70.02,48.1
73.86,48.7
77.91,48.7
82.18,48.7
86.68,48.7
91.43,48.8
96.44,48.8
101.72,48.5
107.3,48.1
113.18,47.6
119.38,47.1
125.92,46.8
132.82,46.6
140.1,46.4
147.77,46.1
155.87,45.5
164.41,45
173.42,44.5
182.92,44.3
192.95,44
203.52,43.5
214.67,42.9
226.43,42.5
238.84,42.1
251.93,41.5
265.73,40.7
280.29,40.1
295.65,39.4
311.85,38.2
328.94,37.1
346.96,35.8
365.97,34.1
386.03,32.4
407.18,30.4
429.49,28.2
453.02,25.9
477.85,23.5
504.03,21
531.65,18.7
560.78,16.5
591.51,14.8
623.92,13.7
658.1,13
694.16,13.3
732.2,14.3
772.32,15.8
814.64,17.6
859.28,19.4
906.36,20.6
956.02,20.7
1008.41,19.5
1063.66,16.8
1121.95,13.1
1183.42,9.1
1248.27,6.1
1316.66,5.2
1388.81,6.7
1464.91,10.1
1545.18,13.4
1629.84,14.4
1719.15,12
1813.35,7.1
1912.71,3.1
2017.52,3
2128.06,6.9
2244.67,10.8
2367.66,9.6
2497.4,4.3
2634.24,1.3
2778.58,4.7
2930.83,8.7
3091.43,5.8
3260.82,1.1
3439.49,3.6
3627.96,6.9
3826.75,2.7
4036.43,1.6
4257.6,5.4
4490.9,2.4
4736.97,2.1
4996.53,3.9
5270.31,1.4
5559.09,2.8
5863.7,1.9
6185,1.9
6523.9,2
6881.37,1
7258.43,2.4
7656.15,0.2
8075.66,1.4
8518.16,2.2
8984.91,-1
9477.23,-0.3
9996.53,2.4
10544.28,2.6
11122.05,1
11731.47,-0.2
12374.29,-0.3
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
