# default s1 SPL
freq,value
35,85.8
36.92,86.2
38.94,86.6
41.07,87.1
43.33,87.5
45.7,87.9
48.2,88.3
50.84,88.7
53.63,89.1
56.57,89.5
59.67,89.9
62.94,90.3
66.39,90.6
70.02,91
73.86,91.4
77.91,91.7
82.18,92.1
86.68,92.4
91.43,92.8
96.44,93.1
101.72,93.4
107.3,93.7
113.18,94
119.38,94.4
125.92,94.6
132.82,94.9
140.1,95.2
147.77,95.5
155.87,95.8
164.41,96.1
173.42,96.3
182.92,96.6
192.95,96.9
203.52,97.1
214.67,97.4
226.43,97.7
238.84,98
251.93,98.3
265.73,98.6
280.29,98.9
295.65,99.2
311.85,99.5
328.94,99.9
346.96,100.2
365.97,100.5
386.03,100.7
407.18,101
429.49,101.2
453.02,101.4
477.85,101.5
504.03,101.5
531.65,101.5
560.78,101.4
591.51,101.2
623.92,101
658.1,100.7
694.16,100.5
732.2,100.3
772.32,100.3
814.64,100.3
859.28,100.5
906.36,100.9
956.02,101.4
1008.41,101.9
1063.66,102.3
1121.95,102.6
1183.42,102.5
1248.27,102.1
1316.66,101.5
1388.81,101
1464.91,100.9
1545.18,101.2
1629.84,101.8
1719.15,102.5
1813.35,102.7
1912.71,102.2
2017.52,101.4
2128.06,101.1
2244.67,101.5
2367.66,102.4
2497.4,102.7
2634.24,101.9
2778.58,101.2
2930.83,101.8
3091.43,102.7
3260.82,102.2
3439.49,101.3
3627.96,102
3826.75,102.6
4036.43,101.5
4257.6,101.8
4490.9,102.6
4736.97,101.4
4996.53,102.3
5270.31,102.1
5559.09,101.7
5863.7,102.4
6185,101.6
6523.9,102.4
6881.37,101.7
7258.43,102.1
7656.15,102.2
8075.66,101.5
8518.16,102.3
8984.91,102.2
9477.23,101.6
9996.53,101.7
10544.28,102.1
11122.05,102.3
11731.47,102.2
12374.29,102
13052.33,101.9
13767.52,101.6
14521.9,101.1
15317.62,100.3
16156.94,99.6
17042.24,99.2
17976.06,97.8
18961.04,96.8
20000,95.1
