# default s1 SPL
freq,value
35,83.2
36.92,83.6
38.94,84
41.07,84.4
43.33,84.8
45.7,85.1
48.2,85.5
50.84,85.8
53.63,86.1
56.57,86.5
59.67,86.8
62.94,87.1
66.39,87.4
70.02,87.6
73.86,87.9
77.91,88.1
82.18,88.4
86.68,88.6
91.43,88.8
96.44,89
101.72,89.2
107.3,89.3
113.18,89.5
119.38,89.6
125.92,89.7
132.82,89.8
140.1,89.9
147.77,90
155.87,90.1
164.41,90.1
173.42,90.2
182.92,90.2
192.95,90.2
203.52,90.2
214.67,90.2
226.43,90.1
238.84,90.1
251.93,90.1
265.73,90
280.29,90
295.65,89.9
311.85,89.9
328.94,89.8
346.96,89.8
365.97,89.8
386.03,89.8
407.18,89.9
429.49,90
453.02,90.2
477.85,90.4
504.03,90.7
531.65,91
560.78,91.4
591.51,91.7
623.92,92.1
658.1,92.4
694.16,92.7
732.2,92.8
772.32,92.8
814.64,92.6
859.28,92.3
906.36,92
956.02,91.5
1008.41,91.2
1063.66,91.1
1121.95,91.3
1183.42,91.7
1248.27,92.3
1316.66,92.9
1388.81,93.9
1464.91,93.8
1545.18,93.3
1629.84,92.7
1719.15,92.4
1813.35,92.8
1912.71,93.7
2017.52,94.6
2128.06,94.8
2244.67,94.3
2367.66,93.9
2497.4,94.5
2634.24,95.7
2778.58,95.9
2930.83,94.6
3091.43,93.5
3260.82,93.6
3439.49,93.1
3627.96,91.1
3826.75,90.2
4036.43,90.3
4257.6,88.5
4490.9,87.2
4736.97,87.1
4996.53,84.8
5270.31,84.3
5559.09,82.8
5863.7,81.4
6185,80.4
6523.9,78.7
6881.37,77.5
7258.43,76.3
7656.15,74.3
8075.66,73.9
8518.16,71.9
8984.91,70.2
9477.23,69.5
9996.53,68.2
10544.28,66.4
11122.05,64.8
11731.47,63.3
12374.29,61.9
13052.33,60.5
13767.52,59.2
14521.9,58.1
15317.62,57
16156.94,55.4
17042.24,53.6
17976.06,52.8
18961.04,50.9
20000,50
