# default s2 SPL
freq,value
35,83.3
36.92,83.7
38.94,84.2
41.07,84.6
43.33,85.1
45.7,85.5
48.2,86
50.84,86.4
53.63,86.8
56.57,87.2
59.67,87.7
62.94,88.1
66.39,88.5
70.02,88.9
73.86,89.3
77.91,89.6
82.18,90
86.68,90.3
91.43,90.7
96.44,91
101.72,91.3
107.3,91.6
113.18,91.9
119.38,92.2
125.92,92.4
132.82,92.7
140.1,92.9
147.77,93.1
155.87,93.3
164.41,93.4
173.42,93.6
182.92,93.7
192.95,93.9
203.52,94
214.67,94.1
226.43,94.2
238.84,94.3
251.93,94.4
265.73,94.5
280.29,94.6
295.65,94.7
311.85,94.9
328.94,95
346.96,95.2
365.97,95.4
386.03,95.6
407.18,95.8
429.49,96.1
453.02,96.4
477.85,96.6
504.03,96.9
531.65,97.2
560.78,97.4
591.51,97.6
623.92,97.7
658.1,97.8
694.16,97.7
732.2,97.5
772.32,97.3
814.64,97
859.28,96.7
906.36,96.5
956.02,96.4
1008.41,96.6
1063.66,96.9
1121.95,97.3
1183.42,97.8
1248.27,98.1
1316.66,98.2
1388.81,98.6
1464.91,98.2
1545.18,97.7
1629.84,97.6
1719.15,98
1813.35,98.8
1912.71,99.5
2017.52,99.6
2128.06,99.2
2244.67,98.9
2367.66,99.4
2497.4,100.5
2634.24,101.1
2778.58,100.5
2930.83,99.5
3091.43,99.2
3260.82,99.1
3439.49,97.7
3627.96,96.1
3826.75,95.9
4036.43,95.2
4257.6,93.2
4490.9,92.9
4736.97,91.8
4996.53,89.9
5270.31,89.7
5559.09,87.5
5863.7,86.9
6185,85
6523.9,84.2
6881.37,82.2
7258.43,81.6
7656.15,79.4
8075.66,78.5
8518.16,77.3
8984.91,75.3
9477.23,74.1
9996.53,73.2
10544.28,71.8
11122.05,70.2
11731.47,68.6
12374.29,67.1
13052.33,65.8
13767.52,64.5
14521.9,63.3
15317.62,62
16156.94,60.2
17042.24,58.9
17976.06,57.8
18961.04,56
20000,54.9
