# default rew SPL
freq,value
35,91.2
36.92,91.5
38.94,92.1
41.07,92.3
43.33,93.1
45.7,93.3
48.2,93.9
50.84,94.4
53.63,94.4
56.57,95
59.67,95.7
62.94,95.6
66.39,96.2
70.02,96.8
73.86,96.7
77.91,97.1
82.18,97.9
86.68,98.2
91.43,98.7
96.44,98.7
101.72,99.4
107.3,99.3
113.18,99.7
119.38,100.1
125.92,100.8
132.82,101.1
140.1,101.2
147.77,101.3
155.87,101.7
164.41,102.1
173.42,102.3
182.92,103
192.95,103.4
203.52,103.3
214.67,103.4
226.43,103.9
238.84,104.2
251.93,104.8
265.73,104.9
280.29,105.4
295.65,106
311.85,105.9
328.94,106.4
346.96,106.7
365.97,106.7
386.03,107.1
407.18,107.3
429.49,107.2
453.02,107.2
477.85,107.5
504.03,107.5
531.65,107.3
560.78,107.1
591.51,107.1
623.92,107.2
658.1,107.1
694.16,107.3
732.2,107.6
772.32,108.1
814.64,108.5
859.28,108.9
906.36,109
956.02,108.8
1008.41,108.9
1063.66,108.6
1121.95,108.4
1183.42,108.3
1248.27,107.9
1316.66,108.5
1388.81,109.2
1464.91,109.1
1545.18,109.5
1629.84,108.8
1719.15,108.1
1813.35,108.6
1912.71,108.7
2017.52,109.6
2128.06,109.4
2244.67,108.8
2367.66,108.2
2497.4,108.8
2634.24,109.7
2778.58,108.5
2930.83,108.5
3091.43,109.6
3260.82,109.3
3439.49,108.6
3627.96,108.9
3826.75,109
4036.43,108.8
4257.6,109.2
4490.9,108.4
4736.97,109.5
4996.53,108.6
5270.31,109.2
5559.09,108.7
5863.7,109.4
6185,109
6523.9,109.6
6881.37,108.7
7258.43,108.9
7656.15,109.1
8075.66,108.9
8518.16,108.7
8984.91,108.5
9477.23,109.1
9996.53,109.2
10544.28,109.2
11122.05,108.6
11731.47,108.7
12374.29,108.7
13052.33,108.5
13767.52,108.3
14521.9,107.8
15317.62,107.8
16156.94,106.5
17042.24,106.4
17976.06,104.8
18961.04,103.6
20000,102.4
