# alt-18s hr SPL
freq,value
35,87
36.92,87.4
38.94,87.8
41.07,88.2
43.33,88.6
45.7,89
48.2,89.4
50.84,89.8
53.63,90.2
56.57,90.6
59.67,91
62.94,91.4
66.39,91.8
70.02,92.1
73.86,92.5
77.91,92.9
82.18,93.3
86.68,93.6
91.43,94
96.44,94.3
101.72,94.7
107.3,95
113.18,95.4
119.38,95.7
125.92,96.1
132.82,96.4
140.1,96.8
147.77,97.1
155.87,97.5
164.41,97.8
173.42,98.2
182.92,98.5
192.95,98.9
203.52,99.2
214.67,99.6
226.43,100
238.84,100.3
251.93,100.7
265.73,101.1
280.29,101.4
295.65,101.8
311.85,102.1
328.94,102.5
346.96,102.8
365.97,103
386.03,103.3
407.18,103.4
429.49,103.6
453.02,103.6
477.85,103.6
504.03,103.6
531.65,103.5
560.78,103.5
591.51,103.4
623.92,103.4
658.1,103.4
694.16,103.6
732.2,103.9
772.32,104.2
814.64,104.6
859.28,105.1
906.36,105.4
956.02,105.5
1008.41,105.4
1063.66,105.1
1121.95,104.8
1183.42,105.2
1248.27,105.3
1316.66,105.7
1388.81,106.4
1464.91,106.9
1545.18,107.1
1629.84,106.8
1719.15,106.5
1813.35,106.7
1912.71,107.6
2017.52,108.5
2128.06,108.6
2244.67,107.9
2367.66,107.4
2497.4,107.5
2634.24,107.1
2778.58,105.6
2930.83,104.3
3091.43,104.3
3260.82,103.3
3439.49,101.5
3627.96,101.2
3826.75,100.1
4036.43,98.3
4257.6,98
4490.9,96
4736.97,95.2
4996.53,93.6
5270.31,92.4
5559.09,90.9
5863.7,89.9
6185,88
6523.9,87.3
6881.37,85.3
7258.43,84
7656.15,83.1
8075.66,81.5
8518.16,79.7
8984.91,78.3
9477.23,77.1
9996.53,75.9
10544.28,74.5
11122.05,73
11731.47,71.5
12374.29,70.1
13052.33,68.9
13767.52,67.8
14521.9,66
15317.62,64.8
16156.94,63.3
17042.24,62.1
17976.06,60.4
18961.04,59.1
20000,57.9
