# default klp SPL
freq,value
35,86.7
36.92,87.4
38.94,87.4
41.07,87.8
43.33,88.3
45.7,88.8
48.2,89.1
50.84,89.4
53.63,89.8
56.57,90.2
59.67,90.6
62.94,91.3
66.39,91.7
70.02,91.6
73.86,92.3
77.91,92.3
82.18,93
86.68,93.2
91.43,93.5
96.44,93.9
101.72,94.2
107.3,94.1
113.18,94.6
119.38,94.8
125.92,95
132.82,95.6
140.1,95.3
147.77,96.1
155.87,96.2
164.41,96.2
173.42,96.6
182.92,97.4
192.95,97.7
203.52,98
214.67,97.9
226.43,98.4
238.84,98.4
251.93,98.5
265.73,99.1
280.29,99.4
295.65,99.2
311.85,99.5
328.94,99.5
346.96,99.1
365.97,99.5
386.03,99.5
407.18,99.2
429.49,99
453.02,98.8
477.85,99
504.03,98.7
531.65,98.8
560.78,98.6
591.51,99.2
623.92,99.2
658.1,99.4
694.16,100.3
732.2,100.3
772.32,101.1
814.64,101.3
859.28,101.4
906.36,100.9
956.02,100.3
1008.41,100
1063.66,100
1121.95,100
1183.42,100.5
1248.27,101
1316.66,102.1
1388.81,102.3
1464.91,101.8
1545.18,101.6
1629.84,101.1
1719.15,101.7
1813.35,102.4
1912.71,103.5
2017.52,103.5
2128.06,102.5
2244.67,102.3
2367.66,103
2497.4,102.7
2634.24,101.4
2778.58,99.9
2930.83,99.7
3091.43,99.4
3260.82,97.5
3439.49,96.6
3627.96,96.7
3826.75,94.6
4036.43,93.7
4257.6,92.7
4490.9,90.6
4736.97,90.7
4996.53,88.4
5270.31,87.9
5559.09,85.7
5863.7,85
6185,83.1
6523.9,82.1
6881.37,80.7
7258.43,78.7
7656.15,77.5
8075.66,76.6
8518.16,75
8984.91,73.1
9477.23,72
9996.53,70.1
10544.28,69.3
11122.05,67.6
11731.47,66.5
12374.29,65.1
13052.33,64.2
13767.52,62.3
14521.9,60.7
15317.62,59.8
16156.94,57.9
17042.24,56.7
17976.06,55.4
18961.04,53.8
20000,52.5
