# alt-18s rew SPL
freq,value
20,54.9
20.8,56
21.63,57.4
22.5,58.5
23.4,60.2
24.34,61.6
25.31,62.7
26.32,64.3
27.38,65.2
28.47,66.8
29.61,68
30.8,69.5
32.03,70.7
33.31,72.2
34.65,73.5
36.03,74.5
37.48,76.1
38.98,77.5
40.54,78.8
42.16,79.9
43.85,81
45.6,82.8
47.43,83.7
49.32,84.8
51.3,86.2
53.35,87.6
55.49,88.8
57.71,89.8
60.02,90.9
62.42,92.4
64.92,93
67.52,94.5
70.22,95
73.03,95.8
75.95,96.8
78.99,96.9
82.16,97.7
85.45,98.1
88.87,98.2
92.42,98.8
96.12,98.6
99.97,98.9
103.97,98.6
108.13,98
112.46,98.1
116.96,97.9
121.64,97.3
126.51,96.3
131.58,95.6
136.84,95.2
142.32,93.7
148.02,92.6
153.94,91.4
160.1,90
166.51,88.9
173.18,87.7
180.11,85.8
187.32,84.5
194.82,82.5
202.62,81
210.73,78.9
219.16,77
227.93,75.1
237.06,72.9
246.55,70.8
256.41,68.5
266.68,66.7
277.35,64.5
288.45,63.2
300,61
