# default rew impedance
freq,value
20,6.89
20.8,6.97
21.63,7.11
22.5,7.36
23.4,7.77
24.34,8.45
25.31,9.48
26.32,10.94
27.38,12.88
28.47,15.15
29.61,17.49
30.8,19.42
32.03,20.37
33.31,19.95
34.65,18.13
36.03,15.38
37.48,12.4
38.98,9.91
40.54,8.15
42.16,6.99
43.85,6.16
45.6,5.76
47.43,6.27
49.32,7.91
51.3,10.23
53.35,12.55
55.49,14.66
57.71,16.41
60.02,17.5
62.42,17.57
64.92,16.49
67.52,14.49
70.22,12.09
73.03,9.91
75.95,8.34
78.99,7.42
82.16,7
85.45,6.85
88.87,6.81
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
