# default rew phase
freq,value
20,130.6
20.8,142.6
21.63,150.7
22.5,157.2
23.4,162.6
24.34,167.2
25.31,171.1
26.32,174.4
27.38,177.2
28.47,179.5
29.61,181.3
30.8,182.8
32.03,183.8
33.31,184.5
34.65,184.7
36.03,184.6
37.48,184.2
38.98,183.3
40.54,182.1
42.16,180.4
43.85,178.4
45.6,176
47.43,173.1
49.32,169.8
51.3,165.9
53.35,161.6
55.49,156.8
57.71,151.4
60.02,145.4
62.42,138.9
64.92,131.8
67.52,124.1
70.22,116
73.03,107.4
75.95,98.6
78.99,89.5
82.16,80.3
85.45,71.2
88.87,62.1
92.42,53.1
96.12,44.3
99.97,35.6
103.97,27.2
108.13,19
112.46,11
116.96,3.3
121.64,-3.9
126.51,-10.7
131.58,-16.9
136.84,-22.4
142.32,-26.5
148.02,-29.4
153.94,-31.5
160.1,-32.3
166.51,-31.2
173.18,-27.5
180.11,-19.6
187.32,-1.1
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
