# default s1 distortion
freq,value
20,2.986
20.8,3.192
21.63,3.4
22.5,3.612
23.4,3.823
24.34,4.033
25.31,4.238
26.32,4.438
27.38,4.633
28.47,4.816
29.61,4.99
30.8,5.152
32.03,5.298
33.31,5.427
34.65,5.54
36.03,5.633
37.48,5.707
38.98,5.76
40.54,5.791
42.16,5.8
43.85,5.787
45.6,5.752
47.43,5.696
49.32,5.62
51.3,5.523
53.35,5.407
55.49,5.274
57.71,5.125
60.02,4.962
62.42,4.787
64.92,4.601
67.52,4.405
70.22,4.204
73.03,3.997
75.95,3.788
78.99,3.577
82.16,3.366
85.45,3.157
88.87,2.952
92.42,2.753
96.12,2.558
99.97,2.371
103.97,2.192
108.13,2.022
112.46,1.86
116.96,1.708
121.64,1.566
126.51,1.434
131.58,1.311
136.84,1.198
142.32,1.095
148.02,1
153.94,0.915
160.1,0.837
166.51,0.768
173.18,0.706
180.11,0.65
187.32,0.601
194.82,0.558
202.62,0.52
210.73,0.487
219.16,0.459
227.93,0.434
237.06,0.412
246.55,0.394
256.41,0.378
266.68,0.365
277.35,0.354
288.45,0.344
300,0.336
