# default rew SPL
freq,value
20,57.8
20.8,59.6
21.63,60.9
22.5,61.9
23.4,63.6
24.34,64.8
25.31,66.2
26.32,67.4
27.38,68.8
28.47,69.8
29.61,71.1
30.8,72.4
32.03,73.9
33.31,75.2
34.65,76.3
36.03,78
37.48,79.2
38.98,80.6
40.54,81.8
42.16,83.1
43.85,84.1
45.6,85.3
47.43,86.6
49.32,87.8
51.3,88.6
53.35,89.8
55.49,91.2
57.71,91.7
60.02,92.4
62.42,93.2
64.92,93.6
67.52,94.3
70.22,94.8
73.03,94.9
75.95,95.5
78.99,95.7
82.16,95.6
85.45,95.3
88.87,95
92.42,94.8
96.12,94.3
99.97,93.9
103.97,93.6
108.13,93
112.46,91.8
116.96,91.1
121.64,89.9
126.51,88.6
131.58,87.5
136.84,86.1
142.32,84.5
148.02,83
153.94,81.4
160.1,79.8
166.51,77.9
173.18,76
180.11,74.2
187.32,71.8
194.82,69.7
202.62,68
210.73,65.7
219.16,64
227.93,62
237.06,60.3
246.55,58.5
256.41,56.5
266.68,54.4
277.35,51.9
288.45,49.6
300,47.8
