# default s1 phase
freq,value
20,121.3
20.8,132.9
21.63,140.6
22.5,146.6
23.4,151.6
24.34,155.7
25.31,159
26.32,161.8
27.38,164
28.47,165.7
29.61,166.9
30.8,167.6
32.03,167.9
33.31,167.7
34.65,167.2
36.03,166.1
37.48,164.7
38.98,162.7
40.54,160.3
42.16,157.4
43.85,154
45.6,150.1
47.43,145.6
49.32,140.6
51.3,134.9
53.35,128.6
55.49,121.8
57.71,114.4
60.02,106.5
62.42,98.1
64.92,89.5
67.52,80.6
70.22,71.6
73.03,62.6
75.95,53.6
78.99,44.8
82.16,36
85.45,27.3
88.87,18.8
92.42,10.5
96.12,2.3
99.97,-5.7
103.97,-13.4
108.13,-20.8
112.46,-27.8
116.96,-34.4
121.64,-40.5
126.51,-45
131.58,-48.2
136.84,-51.1
142.32,-53.2
148.02,-54.1
153.94,-53.6
160.1,-51.4
166.51,-46.8
173.18,-38.9
180.11,-26.1
187.32,-1.3
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
