# default klp impedance
freq,value
20,9.3
20.8,10.7
21.63,12.56
22.5,14.81
23.4,17.18
24.34,19.21
25.31,20.34
26.32,20.17
27.38,18.56
28.47,15.94
29.61,12.92
30.8,10.21
32.03,8.3
33.31,7.49
34.65,8.08
36.03,10
37.48,12.65
38.98,15.15
40.54,16.92
42.16,17.66
43.85,17.22
45.6,15.67
47.43,13.4
49.32,11.05
51.3,9.11
53.35,7.85
55.49,7.18
57.71,6.91
60.02,6.83
62.42,6.8
64.92,6.8
67.52,6.8
70.22,6.8
73.03,6.8
75.95,6.8
78.99,6.8
82.16,6.8
85.45,6.8
88.87,6.8
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
