# default s1 SPL
freq,value
20,62.2
20.8,63.5
21.63,64.9
22.5,66.3
23.4,67.6
24.34,69
25.31,70.3
26.32,71.7
27.38,73.1
28.47,74.4
29.61,75.8
30.8,77.1
32.03,78.4
33.31,79.8
34.65,81.1
36.03,82.4
37.48,83.7
38.98,84.9
40.54,86.2
42.16,87.3
43.85,88.4
45.6,89.5
47.43,90.4
49.32,91.3
51.3,92.1
53.35,92.7
55.49,93.2
57.71,93.6
60.02,93.9
62.42,94.1
64.92,94.2
67.52,94.1
70.22,94
73.03,93.8
75.95,93.6
78.99,93.2
82.16,92.7
85.45,92.1
88.87,91.3
92.42,90.5
96.12,89.6
99.97,88.1
103.97,86.9
108.13,85.6
112.46,84.2
116.96,82.8
121.64,81.4
126.51,79.8
131.58,78.2
136.84,76.5
142.32,74.7
148.02,72.7
153.94,70.7
160.1,68.6
166.51,66.5
173.18,64.3
180.11,62.3
187.32,60.3
194.82,58.4
202.62,56.6
210.73,54.7
219.16,52.8
227.93,50.8
237.06,48.6
246.55,46.3
256.41,44.1
266.68,42
277.35,40.2
288.45,38.4
300,36.5
