# default s1 SPL
freq,value
20,87.7
20.8,88.4
21.63,89
22.5,89.7
23.4,90.3
24.34,91
25.31,91.6
26.32,92.2
27.38,92.9
28.47,93.5
29.61,94.1
30.8,94.7
32.03,95.2
33.31,95.8
34.65,96.3
36.03,96.8
37.48,97.2
38.98,97.5
40.54,97.8
42.16,98
43.85,98.2
45.6,98.4
47.43,98.6
49.32,99
51.3,99.5
53.35,100
55.49,100.6
57.71,101.1
60.02,101.5
62.42,101.8
64.92,102
67.52,102.2
70.22,102.3
73.03,102.4
75.95,102.5
78.99,102.6
82.16,102.7
85.45,102.8
88.87,102.8
92.42,102.9
96.12,102.9
99.97,103
103.97,103
108.13,103
112.46,103
116.96,103.1
121.64,103.1
126.51,103
131.58,102.9
136.84,102.8
142.32,102.7
148.02,102.7
153.94,102.7
160.1,102.8
166.51,102.9
173.18,103
180.11,103.1
187.32,103.2
194.82,103.1
202.62,103
210.73,102.8
219.16,102.4
227.93,102.1
237.06,101.7
246.55,101.4
256.41,101.2
266.68,101
277.35,100.8
288.45,100.4
300,99.8
