# default s1 SPL 4x
freq,value
20,97.2
20.8,97.8
21.63,98.5
22.5,99.2
23.4,99.8
24.34,100.5
25.31,101.1
26.32,101.8
27.38,102.4
28.47,103
29.61,103.7
30.8,104.3
32.03,104.9
33.31,105.5
34.65,106.1
36.03,106.7
37.48,107.3
38.98,107.9
40.54,108.4
42.16,108.9
43.85,109.3
45.6,109.7
47.43,110
49.32,110.2
51.3,110.4
53.35,110.7
55.49,111
57.71,111.5
60.02,112
62.42,112.7
64.92,113.3
67.52,113.8
70.22,114.2
73.03,114.5
75.95,114.8
78.99,114.9
82.16,115.1
85.45,115.2
88.87,115.3
92.42,115.3
96.12,115.3
99.97,115.4
103.97,115.3
108.13,115.3
112.46,115.3
116.96,115.2
121.64,115.2
126.51,115.1
131.58,115
136.84,114.9
142.32,114.6
148.02,114.6
153.94,114.6
160.1,114.5
166.51,114.4
173.18,114.2
180.11,113.9
187.32,113.6
194.82,113.1
202.62,112.6
210.73,112
219.16,111.4
227.93,110.8
237.06,110.2
246.55,109.6
256.41,109
266.68,108.4
277.35,107.7
288.45,106.9
300,106
