# default rew SPL
freq,value
20,83.9
20.8,85
21.63,85.3
22.5,86.3
23.4,86.5
24.34,87.6
25.31,88.2
26.32,88.3
27.38,89.4
28.47,89.7
29.61,90.5
30.8,90.9
32.03,91.6
33.31,92.3
34.65,92.8
36.03,93.5
37.48,94.3
38.98,94.6
40.54,95
42.16,95.8
43.85,95.8
45.6,96.4
47.43,96.9
49.32,96.7
51.3,96.8
53.35,97.1
55.49,97.5
57.71,98
60.02,98.6
62.42,99.1
64.92,100.2
67.52,100.5
70.22,101
73.03,101.1
75.95,101.5
78.99,101.9
82.16,102.1
85.45,102.6
88.87,102.6
92.42,102.5
96.12,102.8
99.97,102.9
103.97,103.2
108.13,103.3
112.46,103.2
116.96,103.6
121.64,103.3
126.51,103.2
131.58,103.7
136.84,103.5
142.32,103.8
148.02,103.9
153.94,103.7
160.1,103.4
166.51,103.6
173.18,103.2
180.11,102.8
187.32,102.6
194.82,102.2
202.62,101.8
210.73,101.3
219.16,101.1
227.93,100.5
237.06,100.5
246.55,99.8
256.41,99.4
266.68,98.5
277.35,97.6
288.45,96.7
300,95.9
