# default s1 impedance
freq,value
20,7.61
20.8,8.19
21.63,9.1
22.5,10.48
23.4,12.37
24.34,14.78
25.31,17.51
26.32,20.21
27.38,22.36
28.47,23.44
29.61,23.27
30.8,22.12
32.03,20.63
33.31,19.31
34.65,18.14
36.03,16.72
37.48,14.7
38.98,12.33
40.54,10.11
42.16,8.47
43.85,7.49
45.6,7.03
47.43,6.86
49.32,6.81
51.3,6.8
53.35,6.8
55.49,6.8
57.71,6.8
60.02,6.8
62.42,6.8
64.92,6.8
67.52,6.8
70.22,6.8
73.03,6.8
75.95,6.8
78.99,6.8
82.16,6.8
85.45,6.8
88.87,6.8
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
